teks;label
kereen nih lihat dgn mata kepala kota kito galo palembang on progres lrt nya  kejorapic twitter com qlaxivdqrm;1
lrt salah efek positif asi games palembang  yukk rame sukses asi games  alexnoerdin  satusriwijayasatuindonesia;1
salah dampak positif bangun lrt  masyarakat sumsel modern   alexnoerdin;1
 bangun lrt anggap solusi padat kendara lalang kota palembang   alexnoerdin;1
sumsel provinsi ny yg milik transportasi lrt  mskipun jkt sdh dluan  ttp sumsel yg bs sukses pmbangunny   alexnoerdin;1
mantab  sumsel dunia dgn transportasi modern lrt  alexnoerdin;1
lrt  akn jadi palembang modern  lrt indonesia selesai   alexnoerdin;1
lrt jadi palembang kota modern indonesia  budi karya bangun lrt palembang sesuai harap  alexnoerdinpic twitter com pupw qqh;1
warga sumsel patut takjub dgn progres bangun lrt  terimakasih  alexnoerdin kerja keras dlm bangun sumsel pic twitter com aomodkm z;1
lrt ikon kota palembang  alexnoerdin http  ww tribunnews com video   lrt-bakal-jadi-ikon-kota-palembang  via;1
lrt palembang harap tingkat mutu layan transportasi kota moda transportasi ramah lingkung;1
    lrtsumsel dg tuju tingkatkn transportasi kota mll cepat wk tempuh  kurang macet  tingkat keslmatan trans sumsel;1
 lrtsumsel kurang macet tingkat selamat transportasi sumatera selatan   alexnoerdin;1
lrt palembang operasi asi games http  kom ps afybwg;1
keren  stasiun rel lrt palembang pasang http  detik id fwnhl via;1
ga sabar cobain sepur pucuk anti panas berisik  alexnoerdin;1
bangga konstruksi lrt palembang sdh selesai sambut asi games  moga tangan atlit nasional tdk kecewa sea games;1
tiket lrt gratis asi games  alexnoerdin http  nasional republika co id berita nasional umum  ozfry -tiket-lrt-digratiskan-selama-asian-games- ;1
lrt indonesia  gimana ngga keren coba   asiangames  lrtsumsel  alexnoerdin ngga sabar banget ken nyoba naik https  twitter com amaliadewantary status ;1
daya saing palembang tingkat kota bebas macet transportasi publik   alexnoerdin  lrtsumsel;1
hadir kereta lrt tingkat city branding citra kota jembatan ampera  sungai mus  kota asi games  pempek public transport modern lrt   alexnoerdin  lrtsumsel;1
intip palembang yuk gaes yg udah lrt n layan asi games  hasil karya   zaman presiden   maju yg dusta    jokowi periode;1
stasiun lrt sumsel lengkap lift eskalator pic twitter com illuexqhcs;1
lrt palembang icon partner kota palembang jembatan mus bangun capai  jan   kerja ersama  jokowi periodepic twitter com iqbk mylmb;1
sumsel wujud tumbuh ekonomi lrt  lrtsumsel http  ekbis rmol co read   sumsel-wujudkan-pertumbuhan-ekonomi-baru-melalui-lrt- ;1
palembang salah kota indonesia milik lrt  pasti  kawulamoda palembang bangga sebentar lrt  lrtpalembangkeren;1
lrt indonesia hadir kota palembang urai padat jalan palembang  lrtpalembangkeren;1
 kawulamoda bangun lrt palembang bukan sambut asi games harap transportasi massal hari kota palembang  lrtpalembangkeren;1
hadir lrt palembang batas sambut asi games http  bit ly sriala pic twitter com uxcp oar;1
lrt palembang operasi  warganet senang http  dlvr it qfzmhp;1
kece bener nih stasiun lrt palembang  sumselmendadakdodi;1
palembang ikon lrt jakabaring  otomatis dongkrak popularitas gerak ekonomi sumsel  mata dunia palembang  undang investasi dunia  otomatis sejahtera tingkat  sumselgemilang;1
bulan palembang dadak internasional transportasi  lrt indonesia uji coba  wargo palembang  jaya sumsel depan;1
palembang kota yg operasi moda transportasi bas rel dlm kota jakarta kota yg operasi lrt indonesia pd pertghan mei  lrt palembang operasi  https  youtu be oegmac f via;1
udara  jalur lrt palembang liuk tampak kota palembang indah megah  pic twitter com byhy ugj;1
guys  asi games  wisatawan lrt yaa   keren kurang nama macet  palembang aman anti macet  genpipromosikanasiangamespic twitter com uqlwu hiyx;1
lrt palembang laju mulus rel http  detik id fby h pic twitter com xduchehpm;1
selesai asi games  lrt palembang untuk angkut masyarakat       pesonasriwijaya  pesonaindonesia  wonderfulsriwijaya  wonderfulindonesia  exploreyoursouthsumatra  ngeteslrtsumsel  lrtsumsel  lrtpalembang  palembang pic twitter com zoul ddty;1
khusus bangga trainset produk anak bangsa  jkw  jokowisampai  semangatpuasapic twitter com soovx bfrj;1
palembang suara  indah progress jalur lrt yg lintas atas flyover simpang bandara  palembang  flyoverpalembang  lrtpalembang  jokowikerjadankerja  jokowimembangunindonesiapic twitter com u jstqjuzj;1
lrt palembang tuk mnyambut hr asi games  asiangames  sukseskanasiangames  asiangameskita  demam;1
lrt palembang lrt jakarta  asi games  asiangames  asiangameskita  demamkanpic twitter com t ijxend;1
lrt palembang bawa budaya sektor transportasi lrt hubung bandara internasional sultan mahmud badaruddin kawasan sport city jakabaring  hasil kerjasama pusat daerah sinergi   tetapjokowi  jokowimembangunindonesiapic twitter com ztatxm jz;1
lrt palembang uji coba dinamis  lrt keren lintas ampera sungai mus  sumsel semangkin mantap sukses asi games  jokowi yg wujud   sukseskanasiangames  tetapjokowipic twitter com lsti quusb;1
boros  lrt palembang murah malaysia filipina http  detik id vylcr via;1
keren gaes  perintah pusat daerah sinergi sambut asi games palembang tampak trainset lrt uji coba dinamis wkt yg   lrtpalembang  asiangames pic twitter com lyfkrdxrrt;1
tarif jangkau https  regional kompas com read   tarif-lrt-palembang-ditentukan-mulai-dari-rp-  dngan rp yg tara tarif angkot malang  warga lrt;1
cctv  ac  wifi gratis  nyaman banget gess   asiangameskita  kenallrtsumsel  indonesiapunyalrt pic twitter com ehrhlocu y;1
bangun konsep konstruksi jalur layang  lrt sumsel kali bangun operasi indonesia  catat sejarah kembang perkeretaapian indonesia  lrt sumsel karya putra-putri indonesia   lrtsumsel pic twitter com m t lgas l;1
jajal lrt palembang  siang  stasiun bumi sriwijaya stasiun jakabaring  konstruksi lrt persen bahan lokal  bangun adab  budaya transportasi massal aman nyaman  budaya  budaya antre  pic twitter com exwoechgm;1
bangun lrt sumsel laksana layan butuh transportasi massal masyarakat wilayah sumatera selatan rangka dukung helat asi games pusat jakarta palembang   lrtsumsel  asiangameskita;1
keren abis trainset lrt  besok palembang nyobain  kmjkw  jkwlrtwongkito  diasibukkerjapic twitter com t oz hukjn;1
 masyarakat tonton  asiangameskita tidak khawatir lrt sumsel jalur  km hantar tonton bandara smb ii kawasan jakabaring sport city  lrt sumsel operasi jam   kenallrtsumsel pic twitter com ajpxx j;1
  lrtsumsel manfaat  asiangameskita  lrt jakarta  proses selesai susul operasi cc  yuk transportasi ;1
wow palembang keren  trainset lrt pasuk stasiun bumi sriwijaya  palembang   tetapjokowipic twitter com jmqopun;1
siang jajal kendara anyar kota palembang  lrtsumsel efektif jalan  pic twitter com tzos zeve;1
 payonaiklrt nikmat transportasi kota palembang salah solusi hindar macet jalan   payonaiklrt pic twitter com ksbz ewsuz;1
bangga milik transportasi yg aman nyaman modern impi   payonaiklrt pic twitter com ffpuybc bm;1
untung lrt  bebas macet  nyaman murah  doang  kalo mo bandara bayar   payonaiklrt pic twitter com hg vbshdr;1
bayang kalo pulang ngetrip gak bingung mo   payonaiklrt pic twitter com asq i tsz;1
kali nyobain  lrtsumsel  haru bangga   payonaiklrtpic twitter com d hzmoocyx;1
liat langsung  lrtsumsel antusiasme masyarakat moda transportasi canggih  payonaiklrt pic twitter com lajoqdpvzt;1
kalo moda transportasi lrt butuh  biasa new lifestyle warga palembang krn aman  cepat  murah  modern  nyaman handal   sukseskanasiangames  tetapjokowipic twitter com tts pbvame;1
wuihh keren lrt palembang operasi agustus lrt buat anak negeri  gaes  kerenn    tetapjokowi  jokowimaruf pic twitter com qexjvioaul;1
orang stasiun bumi sriwijaya bandara jajal lrt palembang ramai bincang  http  dlvr it qglymx;1
 lrtsumsel buka utk dg atur jmh tumpang   antusiasme masyarakat palembang utk lrt sumsel  yuk  alih lrt sbg sarana transportasi yg kini  mudah   nyaman  payonaiklrt pic twitter com r yllrin;1
salah tarik  lrtpunyokito masjid agung palembang  pic twitter com xudchavm;1
masyarakat antusias lrt  padat tumpang  lrtpunyokito pic twitter com rfshdmyy o;1
nya palembang lrt  sukses asean games dukung presiden jokowi utk bangun daerah nya  lancar pakai produk bahan negeri  bangga support buat indonesia support jokowi   salam sukses   lrtpunyokito pic twitter com eblb kb;1
lrt palembang buru kontingen jepang berswafoto http  metrotvn ws wkbq jvb pic twitter com rm mg myi;1
kontingen jepang kagum lrt palembang http  mediaindonesia com read detail -kontingen-jepang-kagumi-lrt-palembang ;1
nikmat infrastruktur bangun perintah pusat perintah sumatera selatan nama light rail transit lrt sepur pucuk  bangga sumsel     sumateraselatan  indonesiabanggapic twitter com mkfwidqct;1
naek lrt bandara smb ii palembang pusat kota  gak kena macet  ongkos murah  rp rb   lrtsumsel  lrtpalembang;1
bandara smb ii k  sayang klo palembang nikmat nyaman murah  ayo     ayonaiklrt  palembang  travelling https  ww instagram com p bnqmfpyakbq qhufdq gh zdztrveyt k o   utm source ig twitter share  igshid ju u uwbm ;1
lrt sumatera selatan kota palembang jalan gaes  nyaman buanget  turun stasiun dah pake eskalator lift  kereta laju nyaman  lrt  lrtsumsel https  ww instagram com p bnsl blfrae  utm source ig twitter share  igshid sbd ufmuk ;1
 asi games udah  lrt mati  nya lumayan rame  lrtsumsel  lrtpalembang  wongkitogalopic twitter com ei uxe mn;1
pergi kerja semangat krn transportasi nyaman   gak macet murah  bangga bgt dg;1
stasiun lrt palembang resmi operasi  fasilitas lengkap  eskalator lift  pic twitter com vegcxjigwg;1
tidak lelah jalan   kawulamoda nikmat pandang kota palembang lrt  lrt sumsel lrt satu dunia lintas atas sungai ;1
bangga warga palembang lrt  pic twitter com qc wzqzrht;1
mode nyaman lrt palembang  bidik generasi milenial;1
 lrtpalembang salah karya anak bangsa adab transportasi dunia   indonesiamaju  jokowilagi  jokowikyaimaruf  jokowiorangbaik  jokowiharapanpasti  jokowibanyakcinta  prabowotakutdebat  jokowilagi  prabowokalahlagipic twitter com surajkhzsr;1
ayo lrt  moda transportasi nyaman murah  dukung program perintah kurang macet ;1
ada moda transportasi kereta api listrik ringan lrt kota palembang aset tidak nilai  pic twitter com t lfjdjnvu;1
asi games selesai  lrt palembang ramai  dorong aktifitas ekonomi masyarakat palembang    indonesiamaju  indonesiabangga  tetapjokowi https  ww google com amp ww metrotvnews com amp kv empn-lrt-palembang-tetap-ramai-usai-asian-games ;1
tidak rasa panas terik macet kota palembang lrt  lrtpalembangpunyokito;1
transportasi lrt bantu masyarakat pergi  hindar macet  lrtpalembangpunyokito  semangatwisuda  kerjarsarjana;1
harga tiket lrt bilang mahal  lrt kurang kemcetan kota palembang  lrtpalembangpunyokito;1
lrt mudah  tidak rasa macet  lrtpalembangpunyokito;1
