teks;label
tolol   gak hubung nya gugur dgn pake hijab syar  i yg lo bilang bayi nya panas dalem gak hubung nya woyy   otak jempol lo gak singkron sih nulis komentar ;0
geblek lo tata  cowo bgt bain balik  hadeww  ntar tinggal lg nyalahin tuh cowo  kitenya yg oon ;0
kmrn mewek skr lengket lg duhh labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotopp ertong gk kualitas;0
inti kesel att nya  gausah anak  kasi kembang psikis anak depan  orang bener bener tolol  skrg anda anak  anak dikatain orang benci  gimana asa  benci  tau batesnya   nama manusia  gaakan suka  haters  ;0
hadeww permpuan lg   sakit jiwa  knp yg jd peran utama film hantu jeruk purut  ky khabis stok artis ja;0
pantesan tinggalin laki  laki mikir kali perempuan kayagni  ngurus aja gak becus gimana ngurus anak  mending anak bapake nya aja bener didik;0
biasa balajaer nyampah d ig artis  suka yg ig bikin caption  balajaer yg heboh asik ceramahin yg ig tar d bikinin lagu sm teh melly loh balajaer yg berjudulketika balajaer bersabdademi seonggak koin laknat nya balajaer ngamuk iya banget koin laknat nya jd goda d rt nya gigi duh elah balajaer smua tau kale laku biduan lo kek apa minus  d bela mati  pd sakit jiwa;0
krn rakyat indonesia bodoh  tdk beda yg yg buruk  sdh tau prilaku buruk tdk tau sopan santun yg pilih jd panutan  idola yg murah dr pd yg kelas ber etika;0
ayu janda bego pny suami kpn nikah lagi ;0
anyienngg  suara ancur banget  merdu tukang goreng;0
syarat sah nikah agama islam hanyayaitu  cpp  cpw  saksi  wali nikah mas kawin mahar  perkara makeup gak manglingi bukan syarat sah nikah  gak makeup syarat ygtersebut penuh nikah sah yak emak emak julids;0
cewek gatau nih  ngerebut pacar org  udh abang yg ngedukung sifat jelek lg  ckck;0
eh  situ   kids jaman now banyak micin  mna yg ngina   bego pelihara  ;0
jijik liat suer deh mincee;0
emang bukan tabu cium gitu  iya emang  yg bikin eneg citra nya yg sok alim sok sok bijak sok sok yg lai  anda citra  bukan sok alim sok suci serius ;0
yg jd  cium dpn org bnyk yg sih malu  mgkn lg mabok jd gak malu   teman   heloow teman tdk libat cium bibir  coba aja bayangin  sanggup gak cium bibir ma teman  lbh dr teman  dasar laku kids jaman now yg emg bego  bukan krn banyak micin lho yah  ;0
anjing nya ngamuk  hidup dmana pny musuh  udh kliatan mna yg bukan  org ga pny byk musuh ;0
ahh jaga ucap  lahh ucap ngk jaga  dasar munafik  dasar betina zaman now ellu kali yangg lebih micin  loe otak loe selangkang paham  moga tuhan ampunin munafik loe cun;0
yaa ampun upil naruto   cermin klo yg pecun    alam banget lu yaa  kesi  gua prihatin  mati aj deh lu  ngotorin dunia manusia kau   ;0
cuman jual goyang yak  suara taik ;0
kasi ih nyari uang sampe segitunya;0
anjir tonton yg tidak mutu ;0
dlu inul goyang ngebor baju ketat dcekal  hrs ny ni jg dg sgja goyang dada mulu  suara ga sbrpa  mrsk moral ank muda yg nnton bawa nafsu aja  ;0
pnyanyi dangdut yg ga kelas bgini nih  bukan  y nonjolin suara nonjolin dada;0
najis najis udh homo aja  org kaya gin musnah muka bumi;0
haduuh orang gak akhlak bangeg  asa kerja antem mulu  musuh;0
s lonte bkn sensasi ngjak ribut org mulu sampah;0
kayak banci dh nenek pny cucu  mw operasi mua top ttp aj klo asli ny g cantik dlm ;0
bagus kalo mingkem aja hahahahahaha jahat akuu;0
oplas permak tetep jelek  pokok muka tegang kek banci  udah sekian  ;0
mending liat dek molen biarpun cowok tp cuantik  gak kaya cewe tp kayak bencong wkwkwk  ;0
bencong rombeng jijik   gay jg ;0
orang gila   ken hitz cri tenar rela penjara  cari sensasi settingan beken smpe hina org   astagfirullah  kaya sih   org kaya mulut nya ky sampah  ga sekolah  ;0
cowok anjing cuihh  orang kaya tidak koar gua orang ping kaya dunia  orang tau klo orang kaya  orang kaya malahn perilaku orang sederhana pamer kaya dunia akhirat mampus lu harta kagak bawa mati pants buang laut lu orang anehh;0
cari sensasi tenar  trus banya folowers nya  gak gt gt jg kalee  darar orang tres  ngomong aja belepotan gk gt  kamfungan;0
ngomong aja belepotan gaya lu bencong;0
orang banyak makan taik gin  otak udah penuh taik jdi gak berfikir positif  bicara aja gak moral  dasar kaum laknat banci anjing kbanyakan burit sih lo jdi stres  manusia ogah jumpa lo anjing  anjing yg ketemu lo taik ;0
sikat abiss lahh orng sial kaya gin  pimpin negara gak hormatin  jgn mentang president sembarangin  marah  gak hina pimpin  harap tindak hukum orng ini;0
jijik banget lihat tingkah si upil  mudah cepat tidur;0
edan nih orang  udh makan uang rakyat tidur;0
manusia laknat  mati apain;0
sakit otak hati mah  udah gak nurani urat malu  pajak loh ngegaji orang gila hormat;0
anak babi bangsat ken sumpel timah panas congor lu biar modar;0
ken sumpel timah panas congor si anak babi pesek buruk rupa;0
hey anak bangsat babi pesek buruk rupa keriting ken penggal leher lu sampe putus   lumayan makan buaya  ;0
ratu pelakor jagat raya  lonte gak malu  yg ngerasa lonte malu dikit;0
mahh temu buah ranum buah busuk    dah tau yg busuk yg manah    mentok mah gitu aja kalo pelakor  ;0
ah manda mah gatel  ga liyat cowo dikit lgsg sosor  begok aje yg ama manda  kegatelan cewe;0
si amanda muka tante umur tp muka boros banget  dasar cabe  jujur gua mah kgk suka ama ni haltis;0
astagah  demen ama cewek dekil mel  nagita turun att  nagita kaya emas att kaya barlen;0
alah laki laki jaman skrg sm aja  bejat  ustad kek bukan kek gila bgt sm perempuan yg bukan istri  stju bgt sm yg blg ustazah  msuk surga bkan krna poligami  msh bnyk yg bs jd akhlak bs masuk surga  yaa smoga aja sih perempuan perempuan pelakor luar sna azab yg gak ampun  hidup gk selamat dunia akhirat;0
gilaa pelakor bnget laki gatal alas poligam woii mikir pake otak haduh pikir org pintar tau agama buruk  allah uji setia nafsu eh kaya gtu  sakit istri sja tutup pintu rejekimu  anak istri kau korban  sbg seorg imam keluarga gagal mmpertahankan rmh tangga coreng nama nya sndiri  smua org suka skrg benci  m;0
biasa kalo pelakor lbh ancur muka istri sah  barang bagus cepat laku  pelakor jelek laku ngembat laki orang  udah gatel  cocok wes ;0
ilfil deh sm ni ertong  caption ig story nya ngomongin org mlu  org jd ambigu nilai si a si b si c udah gt kaya zholimi  salahinnya lawan jgn ngmg status ah  nya dewasa  ;0
pikir manusia bodoh  eehh tante ibu oma empo  otak lu picik bngt  jga manusi larang emang dunia orang larang ngungkapin unek   stupid human;0
heran deh yg ngatain si via baperan wajar dese baper udin muak orang yg munafik sok dese  kabar yg baperan laki orang  ga nyadar tuh puja att  gotong royong nasehatin att gila muja att mojokin viaa  dese manusia les ahh;0
yg komen via nyinyir mulu duh kyak gak nyinyirin orang aja  parah  kalo org sok bener mah gitu  pdhal media sosial  hak instagram instagram  yg nyinyir gak pake ig s;0
nan;0
nya ngatain org  nyindir  netijen goblog banyak masyako ;0
didik ortunya nagita bagus  heran dg balajaer  nagita yah yg rugi sm junjunganny  knp yg benci  bodoh bgt asli ;0
pdhl km kampung loh  pake kerudung mulut cuihh ;0
belajaer tuh  hahahaha bela artis ampe begitu  manusah begoh  ;0
