teks;label
minimal kabar bikin rilis bocor data;-1
iya fitur jual milik toko fisik biar cantum kontak alamat bebas duga bocor data tokopedia data publik jual via;0
duga bocor data juta langgan tokopedia jual online;0
bocor data guna cc;0
tokopedia tidak bocor data guna data sebat data;1
usaha tokopedia data bocor gw ragu belanja tokped;-1
pasal pidana uu ite bocor data konsumen;-1
duga bocor data juta langgan jual online vivajika konsekuensi hukum inscure konsumen cc;0
blm bocor data aja seller toko tokped yg jual transaksi ditokped jual toko informasi beli alamat no telp utk kirim barang aja seller yg kumpul data jual bukan brarti system tokped bobol;-1
seller yg nakal jual data transksi seller dpt info nama alamat no telp blm bocor data;0
sy ambil inisiatif aman data pribadi tidak d salh oknum yg tdk brtanggung sungguh sy sayang ketelediran shingga bocor data langgan;-1
min hapus akun tokped gimana sy hapus ngeri berita tokped bocor data kemarin;-1
mohon info sama data akun akun yg dgn data data yg akun hack org tidak bertanggungjawab lapor bocor data;-1
klaim sama data transaksi yg bingung akun no tlp kontak jelas tweet abai jelas perihal;-1
curiga akun yg pakai data data investigasi rahasia data langgan mutlak wajib jaga bocor lapor utk ditindaklanjuti mohon kontak langsung utk jelas;-1
akun ovo dipake transaksi tokopedia akun toped orang ngga transaksi toped direfund balik akun ovo orang bocor data;-1
dear tokopedia status lapor bocor data cradit card tidak belanja tgl april transaksi tsb cradit card tokopedia tidak jaga rahasia data customer data cc bocor;-1
actor leaked the database of tokopedia a large indonesian technology company specializing in e commerce hack occurred in march and affects users though the hacker said there are many more database contains emails password hashes names;0
it appears that millions of tokopedias user data had been stolen in march including user names full names birth dates emails passwords and more the hacker claimed that they have much more than million accounts from the breach;0
juta data guna tokopedia bocor tokopedia rundung kabar sedap belas;0
berita tokopedia bocor data buru tarik saldo;-1
turut poin ambil data leak nama lengkap email nomor telepon bocor data data sensitif nomor telepon dipake bajak otp sms tgl lahir nembus aman;0
kuak juta data guna tokopediabocor;0
juta data guna tokopedia tuding bocor;0
tokopedia kabar alami aman akibat data juta guna bocor;0
bas juta akun tokopedia bocor dunia maya;-1
ganti passwordnya bener ga;-1
geger duga bocor juta data pribadi guna tokopedia;0
guys ngingetin aja hacker yg jangkau password aman data pribadi ubah malem kalo password;0
untung ga pake tokped;-1
udah valid bang;0
tumben tumben;-1
serius rem iih;-1
akun tokped ngga belanja tokped aman ngga;-1
valid bang nabung reksadana tokopedia takut jebol nih;-1
security kelas tokped bobol;-1
serius bang;0
sebenernya ganti password akun toped jenis password akun sih bang bank reksadana sosmed dllnya;0
juta data guna tokopedia tengara bocor usaha e commerce besut william tanuwijaya angkat bicara;0
well sebenernya yg khawatir bukan password nya inget alamat lengkap nomor hp alamat email rekening sih yg khawatir takut yg jebol nunggu konfirmasi tokped mending antisipasi;-1
ku takut yg kirim;-1
kalo udh disconnect msh hack ga ak login pake gmaill;-1
tidak pake tokpedd uninst aman;-1
here s what you can do ubah password tokped lo enable fa ubah password email lo ubah password sosmed yg lo pake gue saranin logout all sessions login ulang jaga aja better safe than sorry;-1
better safe than sorry sih emang thank you info bang narik akun jenius nunggu statement tokpednya;-1
udah lupa pw tokped udah diunistall aman;-1
anjirr;-1
ah gila merinding conectin rek tokped karna ngelapak sana aman ga si lg gaada aplikasi udh ga digunain jg semenjak ganti hp;0
untung ga main tokopedia;-1
gaes urgent ganti password akun tokopedia yaa tokopedia kena bocor data;-1
juta data pribadi guna bocor tokopedia;0
untung makenya shopee;-1
kabar yg nyimpen data cc tokped aman;-1
udh gk ganti pasword lgsg sndr;0
yg bilang dah uninstall tokped nanya aman ga jawab gak data langsung ngambil server tokpednya saran gw sih ganti pass aja akun;-1
reksadana gimana tarik aja gkusah weekend;0
bener gak nih bang;-1
gatau two factor authentication nya tokped log in browser hp trus paste url addressnya pasti no hp daftar tokped aktif yah;0
tokopedia duga retas juta data guna bocor;0
download google authenticator masukin email tokped masukin angka halaman tokped buka browser halaman tokpednya masukin angka kasih google authenticator halaman tokped two factor authenticator sukses deh;0
laku mitra tokopedia gak;0
bentar dah td gue lihat email gue domain akun tokped bukan gmail emang dr gimana;-1
hubung gue jarang bgt pake tokped td gue cek sih jd helma at dumoac dot net gitu data gue kena ga si;-1
smaa nih panik gimana;-1
sereem allah untung w pakenya syopi;-1
mesti nunggu sampe kerja;-1
juta data guna tokopedia informasi bocor daftar email password korban;0
gk cuman gnti password sih email verifikasi langkah tuh diaktifin;-1
data guna tokopedia bocor orang saran ganti password hello everybody gak ganti password urus selesai coba tengok foto tweet yg rt data pribadi dijembreng file txt jangan data pribadi;-1
holy sh;-1
unsalted password hashes bener tokopedia gak pake salt passwordnya;-1
ihh rem;-1
gak belanja tokped data mbak yg dalem akun nya tetep simpan database nya tokped yg sasar;-1
barusan dapet info orang koneksi bidang infosec passwordnya ter salt data valid kalo bicara breachernya dapet data saltnya moga beneran moga toped klarifikasi;-1
konsekuensi kalo ter salt password aman sulit jebol rainbow table tinggal bocor data pribadi massal legenda deh;-1
oalah pantesan dr kemarin dapet sms verifikasi trs blm download tokped huh;-1
ngeri ah;-1
ga ndang ubah;0
klow gk pake sandi gmana;0
allah bikin akun tokped;-1
gue barusan ganti password abis ganti password tokped kayak down gitu;-1
gua oubya apk tokped gua gak login udah login nama gua nomor gua tp jual barang paham gak maksud gua email nya bukan email gua alamat jg diri to bukan rumah gua yg;-1
syukur gua setia ama shopee bukalapak ga pernh blnja akun hijau nih hehe;-1
udah gw ganti password udah aman;-1
hapus akun gimanaa;-1
gw ngeri personal data nya damn;-1
walopun gk cc kalo yg toko kyknya masalah rawan curi saldo;-1
done kalo ovo ganti password gak mas;-1
;-1
takut kelas tokped aja sampe jt gimana shopee takut merambaah;-1
login pake nomer tp pas ganti password udah sukses apps pas masuk bikin akun gimana ak ga paham;-1
wow salut yg retas database hash tokped ti ati;-1
yg reksadana bahaya;-1
