teks;;;label
Selamat pagi   bisa bantu kenapa di dalam kamar sinyal G hilang yang  lagi panggilan darurat saja  ;;;0
Dear  akhir ini jaringan data lemot banget padahal H+ !!!!;;;0
Selamat malam PENDUSTA  ;;;0
Untuk penembakan paket dari masih gangguan ya ;;;0
RT :  tak ada lagi dalam kamus perhapean saya. #Boikot ;;;0
keluhan gak ditanggapi. bikin emosi aja. pulsaku dicuri terus. soak deh. masa setiap hari pulsa berkurang - bisa -*/hari;;;0
#Bilboard iklan  kok ada pesan tersembunyi? #Boikot #Ramadhan ;;;0
 mampus!!!!! bulan puasa subuh mau sahur cek pulsa tersedot terus. dan sekarang sisa  ribu  Tolong dibaca!!!;;;0
 Pernah coba pakai  tapi parah koneksinya ;;;0
Setuju  silahkan boikot saja pelanggan  pendukung #HRS ;;;0
Dibela belain daftarin kartu G tunggu sejam siang sambil puasa sampai rumah sinyal Gnya gak ada adanya di kota! ;;;0
 datanya kok sering hilang ;;;0
#internetlelet   ga sesuai iklan ;;;0
yang katanya MBPS kecepatanya cuma kbps kuota full. Ga bisa buka google? Udah bikin nguras uang dan baterai… ;;;0
kuota #internet  masih banyak tapi koneksi internetnya LAMBAT BANGET! # #G #lte… ;;;0
Ampun... Sinyal G  lemot seperti siput. Acara live streaming jadi terganggu. Mundur terus ;;;0
Jaringan  di Nabire bagus? Itu hanya berita HOAX #HOAX ;;;0
Makin jelek jaringan di takalar ;;;0
  ini kualitas provider  gangguan trouble mahal berhari #uselessg ;;;0
 sinyalnya tai...;;;0
Jaringan internet  di sumba timur parah....;;;0
Dengan ajaib kuota hilang usage diberikan bahkan bukti penggunaan tidak melebihi batas. ;;;0
Bertahun tahun pakai . Masa aktif sampai  karena seringnya bayar untuk dapat pelayanan yang memuaskan;;;0
cepat banget data  habis ;;;0
: Apa gak kurang tolol namanya.  provider gak ada urusan sama semua Chat App! ;;;0
mungkin  benar berarti tinggal #whatsappNotSave ;;;0
Terlambat ikut <PRODUCT_NAME>... Jelaslah jaringan  lemot...;;;0
 tega Menyampaikan pesan kok suka telat bikin #BAPER;;;0
Jaringan G kecepatan G ;;;0
Paket extra combo kok lemot ya ;;;0
Kenapa! Masa buka Facebook aja gak bisa ;;;0
Rugi isi kuota  jaringannya busuk banget dirugikan ..;;;0
solidaritas perlu.. tapi perasaan lebih penting lagi dari solidaritas.  ngomong dong ;;;0
Koneksi  di daerah #sawojajar kota #malang seminggu ini lemot parah ? lagi gangguan kah? Care ;;;0
Baru isi kuota ... tapi baru  menit langsung habis kacau.  ;;;0
Sinyalmu jelek banget sih akhir akhir ini ;;;0
#Boikot Pergerakan masif PKI dan anteknya melalui iklan . Mari hancurkan PKI melalui #Boikot;;;0
Aku kira diganti pulsaku. udah komplain sana sini kok cuma php ;;;0
Sinyalmu kenapa ;;;0
 musuh Ulama #Boikot ;;;0
RT : sudah lama gak pakai ;;;0
Saya gak benci tapi kelakuan  yang bikin #Boikot  Pendukung #PKI coba kamu lihat iklan  ada gambar palu arit;;;0
RT :  HT Nya #PuasPake Noh. aku pakek  Gimana thu..…;;;0
 bisa gak sih kuota G digabung saja sama G sayang gak terpakai mubazir... Mubazir itu temennya setan lho!!  ;;;0
Buat apa beli paket G jika jaringan internetnya masih Edge  ;;;0
Bagaimana ini  G tapi lemot;;;0
Nelepon ke sesama  pulsa . cuma cukup buat  menit?  BANGSAT..............…;;;0
Signal G  bekasi kenapa? Gak bisa internetan sama sekali dari tadi subuh;;;0
 tarif Internet Super Kuota naik lagi. Negara lain internet makin murah kok  makin mahal? ;;;0
JARINGAN  tidak ada SINYAL untuk wilayah Sindangkasih - ciamis  ;;;0
 kalo bukan karena nomer sudah lama pasti sudah dibuang saja dari dulu. ;;;0
 jadi yang dizalimi bukan cuma saya ya?  ;;;0
Sinyal jelek! Komplain gak direspon! #Boikot  ;;;0
Alhamdulillah mulai hari ini  kartu telpon dan  kartu internetan kami gak pakai  lagi. #Boikot;;;0
#Boikot bentuk tekanan masyarakat agar perusahaan publik sekelas  lebih berhati-hati ke depannya… ;;;0
   Alhamdulillah saya gak pakai  dari dulu #Boikot ;;;0
 jelek banget sinyalnya ;;;0
Internet mahal turunkan harga paket  ;;;0
Webnya  dibajak ya?  Cie dibajak. Semoga habis ini paket spam dan promonya makin subur.  ;;;0
 semakin kesini semakin mahal jaringannya G tapi lelet pesan masukku penuh isinya pesan promo yang nyedot pulsa semua ;;;0
Tolong dong kensinya di benerin di wilayah keramat jati. Kenapa lemot !!!!  ;;;0
Sinyal kami paling kuat KATANYA. internetku di jakarta lemot parah g aja gak dapat. makin hari makin jadi ini provider  ;;;0
Keamanan  dong yang harus ditingkatkan! Bikin rugi pelanggan aja..!! ;;;0
harga jual & jumlah per rupiah dari kilobyte internet... memang  juara mahalnya sih tsel vs   ;;;0
  kenapa jaringan g di sembungan bangunjiwo kasihan bantul sudah minggu sangat tidak stabil. kuota  terbuang;;;0
  apakah setelah mendapat banyak customer sekarang G di Sembungan Bangunjiwo Jogja jadi gak stabil?;;;0
Sinyal macam apa ini? Ping game aja segede itu. Sinyalnya seperti tai.  ;;;0
Malas banget yang Gb jadi Gb  masalahnya harga sama mahalnya - jaringannya sama dan free YouTubenya gak terpakai jamnya hadeh;;;0
tolong lakukan reset di nomor saya  Jaringan lemah memakan waktu lama untuk open page web #LEMOT #JARINGAN #LTE  ;;;0
Jaringan g  di cimahi kenapa yah  kok lambat ? sudah  hari ini.  Tapi kalo di kota bandung lancar jaya.. ;;;0
 parah cuma bisa di G  ;;;0
 Koneksi G rasa GPRS  ;;;0
Kapan nih akses data di kecamatan cisewu kabupaten garut bisa G;;;0
 GLTE  #BOGOR #AREA   … UDAH  BULAN TIDAK ADA TANGGAPAN YG JELAS ;;;0
tidak direkomendasikan baru coba paket  mingguan tes pakai twitter menit pulsa terus berkurang langsung unreg. ;;;0
ayo penuhi viralkan keras #Boikot! Nomor sy nomer  cantik dr th lgsg sy buang!Jgn main dg umat Islam yg brsatu;;;0
AYO BUANG KARTU  ! #Ruh ;;;0
Selama ini saya pake  Insya Allah setelah paket yang sekarang kuotanya habis saya akan ganti operator lain #Boikot;;;0
CEO  harus bertanggung jawab. Sudah ada counter perdana HP berhenti jual perdana  #Boikot;;;0
Biar jadi pelajaran buat yang lain... Saya tidak akan pernah pakai produk !!! #Boikot;;;0
kenapa pada boikot  ya #Boikot mungkin karena sering nyedot pulsa ga tau dipake apa sms  bayar  cuma buat bonus maksa;;;0
Uji kecepatan #opensignal-ku di  G  disini jelek;;;0
Tolong di urus segera saya ga mau bayar data yang saya ga dapet datanya  ;;;0
Mohon di up jaringan G di wilayah Morowali sangat buruk..   ;;;0
Jaringan  di Waru Atas arae Site WKP tidak dapat digunakan untuk telpon mohon cek Team  ;;;0
Semakin hari kualitas dan pelayanannya semakin buruk. Selama  bulan melakukan pelaporan namun tidak ada tindakan perbaikan. ;;;0
 tolong jaringan di MUARA KAMAN diperbaiki... BBM aja ga bisa ngakses...menyambungkan melulu... sudah  minggu lebih;;;0
Uji kecepatan NYATA  di  G  disini jelek;;;0
Tolong diurus segera saya ga mau bayar data yang saya ga dapat datanya  ;;;0
ayo viralkan keras #Boikot! Nomor saya nomer  cantik dari tahun  saya buang! Jangan main dengan umat Islam yang brsatu;;;0
AYO BUANG KARTU  ! #Ruh ;;;0
Selama ini saya pakai  Insya Allah setelah paket yang sekarang kuotanya habis saya akan ganti operator lain #Boikot ;;;0
kenapa pada boikot  ya #Boikot mungkin karena sering menyedot pulsa ga tau dipake apa sms  bayar  cuma buat bonus maksa;;;0
 kamu kenapa sinyalnya php ;;;0
Koneksi internet yang sangat menjengkelkan.   #lemot ;;;0
Ini sinyal H+ palsu. Seperti H+ rasa edge.   ;;;0
Pelanggan   yg ada di area #Pandeglangkota dirugikan krn jaringan telponnya rusak dan tidak diperbaiki;;;0
 Hati-hati Tukang Tipu!! ;;;0
Sedih. Pakai  G gak stabil.;;;0
Jarigan  lelet. Karena gangguan atau rusak ya;;;0
Daerah Jagakarsa pakai  sinyalnya jelek yang satu H+ gak dapat G yang satu dapat G tapi gak ada sinyal?;;;0
 cacat;;;0
