teks;;;label
Kata Indonesia tidak dihargai bangsa asing Berita ini pasti hoax buatan penguasa ya kan;;;-1
Negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat terus masyarakatnya ngeluh karena negara ngutang setiap negara itu pasti ngutang utang bisa dibayar kalo negara dapet penghasilan Penghasilan negara itu ya dari pajak;;;-1
Masa tenang msih ngoceh aja ttp jokowi harga mati;;;-1
Prabowo Sandi Sepakat Tak Ambil Gaji karena Negara Sedang Susah;;;-1
Gak nginti Lu to dan si AbdillahToha juga gak ngacaaa Gak usah ngajarin Sandi soal ekonomi dibanding Jokowi;;;-1
Jika Terpilih Prabowo Sandiaga Janji Tak Ambil Gaji Kita tahu mereka orang orang yang superkaya mbok ya rendah hatilah jangan menyatakan kata berkonotasi angkuh;;;-1
apa bapak gak menghargai relawan yg puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan  Mhn dibalas tweet dan kontribusi ngopi rokok dll mereka yg tirakat mujahadah Jika tdk maka  akan gagal Ayo semua tirakat munajad In;;;-1
UMMAT ISLAM YG WARAS DAN CERDAS PASTI SENANG BERAMAL COBLOS PRABOWO ANDA IKUT ANDIL DLM BERAMAL GAJI BELIAU TDK DIAMBIL TP UNTK AMAL;;;-1
Model ngeles petruk Sudah ketaker Ber busa didepan Sandi ngomongin ekonomi makro dg congkaknya Untung Sandi nya sabar gak di kick balik Pantesan menterinya yg pintar pada mbodoni lha juragannya kyk gini pek k nya;;;-1
Polri Gakan di ladenin sama pak pulisi Karna pak pulisi di gaji sama pake duit bukaan sama RAKYAT lapor nya nanti aja tunggu udah ganti presiden;;;-1
baguslah pendukung jokowi tebang pohon bkn dg golok gergaji tapi dg ranting pohon itu sendiri jadi elektabilitas jokowi nyungseb bkn oleh lawan politiknya tapi oleh pendukung dari dalam sendiri TOLOL DIPELIHARA DASAR EBONG;;;-1
 kelar hidupmu bisanya cuma harga mahal turunkan solusi  kubu Prabowo bahlull;;;-1
Meskipun aku di surga Mungkin aku tak bahagia Bahagiaku tak sempurna Bila itu tanpamu Gandeng tangan prabowo Baru jadi ustad sudah yakin masuk surga Ckckckck Salah milih guru ngaji gue;;;-1
Buat anggota ID anda tdk layak digaji sebaiknya rasa malu diutamakan daripada isi perut Gede bacot minim torehan prestasi cc;;;-1
He he he sok bijak nih antek ORBA Pikirkan Letjen pecatan yang bilang biang kerok ekonomi Indonesia adalah Presiden sebelum Jokowi ada Jenderal SBY Gimana demokrat ngga beralih dukungan ke Jokowi coba;;;-1
 Jokowi Naikkan Tax Ratio Drastis Bisa Guncang Ekonomi;;;-1
Disitu pak jokowi hanya membahas game online bagi pemain profesional bahkan sekarang udah ada piala presiden Mobile legend dan hadiahnya sangat besar Jika kita mau bersaing didunia online seperti game ekonomi kita juga akan naik;;;-1
Alasan Prabowo Sandi Tak Terima Gaji Jika Menang Negara Sedang Susah;;;-1
He he he pikirkan Letjen pecatan yang bilang biang kerok ekonomi presiden sebelum Jokowi ada Jenderal SBY ada Jenderal Soeharto yg bintang nya sampe lima dungu;;;-1
Terus lah bersuara minta keadilan  suara begitu berarti ID kerja yang benar jangan makan gaji buta Jangan curang;;;-1
Jelas Jokowi lah Prabowo dan Sandi pecicilan Selalu pesimis tanpa jalan keluar jelas Ekonomi Makro dan Mikro saja tak tau;;;-1
Leres pakdhe Salah satu aspek penting dari faktor ekonomi yg bertumbuh adalah stabilitas politik dalam negeri yg ditunjukkan dg adanya kepastian dan keadilan dalam penegakan hukum Jadi pripun kabare pakde;;;-1
