;teks;label
0;['juga', 'siap', 'penjara', 'ahok', 'dukung', 'fatwa', 'mui'];0
1;['kawal', 'terus', 'pantau', 'terus', 'habis', 'penjara', 'ahok'];0
2;['juang', 'umat', 'islam', 'baru', 'mulai', 'sangka', 'bukan', 'akhir', 'masuk', 'bui', 'tetap', 'istiqomah', 'wahai', 'saudara', 'iman', 'seluruh', 'indonesia', 'penjara', 'ahok'];0
3;['kawal', 'pasti', 'ahok', 'masuk', 'bui', 'penjara', 'ahok'];0
4;['pun', 'kalian', 'kalian', 'bebas', 'politik', 'sesuai', 'yakin', 'kalian', 'penjara', 'ahok'];0
5;['lama', 'hubung', 'tenang', 'baik', 'akhir', 'nya', 'muncul', 'orang', 'penjara', 'ahok'];0
6;['yes', 'status', 'sangka', 'cuma', 'trik', 'lindung', 'nista', 'alquran', 'umat', 'senang', 'ahok', 'tetap', 'menang', 'pilgub', 'penjara', 'ahok'];0
7;['mulut', 'rusak', 'basuki', 'tolak', 'allah'];0
8;['kawal', 'terus', 'ahok', 'masuk', 'bui', 'penjara', 'ahok'];0
9;['warag', 'robot', 'kali', 'ah', 'bikin', 'trend', 'topic', 'wong', 'rusak', 'toleransi', 'kok', 'dukung', 'emo'];0
10;['satu', 'proses', 'hukum', 'jalan', 'kawal', 'terus', 'adil', 'rasa', 'penjara', 'ahok'];0
11;['kawal', 'penjara', 'ahok'];0
12;['umat', 'islam', 'terus', 'siap', 'juang', 'benar', 'penjara', 'ahok'];0
13;['nah', 'kawal', 'terus', 'masuk', 'bui', 'penjara', 'ahok'];0
14;['masih', 'percaya', 'institusi', 'adil', 'eri', 'penjara', 'ahok'];0
15;['ayat', 'alquran', 'injak', 'saja', 'bain', 'orang', 'mana', 'sih', 'islam', 'orang', 'islam', 'sok', 'ahok', 'penjara', 'ahok', 'allah', 'akbar'];0
16;['perang', 'uhud', 'muslim', 'gerak', 'masing', 'penjagannya', 'gemuruh', 'euforia', 'ghanimah', 'di', 'depan', 'mata', 'penjara', 'ahok'];0
