;teks;label
0;['amin'];0
1;['sangka', 'ahok'];0
2;['wah', 'kampung'];0
3;['ahok', 'game', 'over'];0
4;['fpi', 'delete', 'ahok'];0
5;['ahoak', 'drakula'];0
6;['maaf', 'ahok', 'game', 'over'];0
7;['delete', 'ahok', 'penjara', 'ahok'];0
8;['nah', 'kan', 'kode', 'keras'];0
9;['basuki', 'game', 'over'];0
10;['save', 'fpi', 'delete', 'ahok'];0
11;['basuki', 'game', 'over', 'dong'];0
12;['ari', 'yusuf', 'yakin', 'ahok', 'jadi', 'sangka'];0
13;['benar', 'pada', 'gila', 'bela', 'basuki'];0
15;['apa', 'basuki', 'game', 'over'];0
16;['adik', 'uje', 'yakin', 'persen', 'ahok', 'sangka'];0
17;['fadli', 'zon', 'upaya', 'lolos', 'ahok'];0
18;['tegak', 'adil', 'basuki', 'game', 'over'];0
19;['acta', 'yakin', 'ahok', 'jadi', 'sangka', 'nista', 'agama'];0
20;['tahan', 'donk', 'enak', 'sangat', 'sangka', 'keluyur'];0
21;['moga', 'sukses', 'basuki', 'game', 'over'];0
22;['alat', 'bukti', 'akan', 'jadi', 'ahok', 'sangka'];0
23;['save', 'penjara', 'biar', 'lebih', 'aman'];0
24;['moga', 'jadi', 'referensi', 'kuat', 'ahok', 'jadi', 'sangka'];0
25;['ahok', 'koruptor', 'ayo', 'save', 'pak', 'ahok'];0
26;['acara', 'lapor', 'optimis', 'ahok', 'bakal', 'jadi', 'sangka'];0
27;['duh', 'gala', 'akun', 'anonim', 'ribet', 'ahok'];0
28;['alas', 'din', 'syamsuddin', 'tolak', 'ahok', 'via'];0
29;['habib', 'rizieq', 'yakin', 'ahok', 'bakal', 'masuk', 'penjara'];0
30;['sedih', 'lihat', 'muslim', 'bela', 'ahok', 'mati'];0
31;['massa', 'fpi', 'kawal', 'gelar', 'perkara', 'ahok', 'mabes'];0
32;['lkpi', 'elektabilitas', 'ahok', 'urut', 'paling', 'bawah'];0
33;['apa', 'we', 'tamat', 'ahok', 'basuki', 'game', 'over'];0
34;['kalau', 'ahok', 'bebas', 'demo'];0
35;['komisi', 'i', 'curiga', 'bom', 'samarinda', 'alih', 'kasus', 'ahok'];0
36;['nah', 'lohh', 'dasar', 'ahoak', 'dusta', 'polri', 'netral'];0
37;['ahok', 'tahu', 'tahu'];0
38;['kata', 'habib', 'rizieq', 'insya', 'allah', 'ahok', 'sangka'];0
39;['ajar', 'deh', 'sana', 'basuki', 'game', 'over'];0
40;['ali', 'yusuf', 'yakin', 'ahok', 'jadi', 'sangka', 'kicaupulitik'];0
