;teks;label
0;['ideologi', 'dunia', 'maya', 'sebar', 'jalan', 'tol', 'tito', 'intensif', 'uud', 'penjara', 'ahok'];0
1;['grdmy', 'gardaaamiin', 'spirit', 'fatwa', 'mui', 'hukum', 'itif', 'muslim'];0
2;['hayo', 'ahok', 'tanggung', 'jawab', 'ahokmewek', 'tahan', 'ahok', 'penjara', 'ahok'];0
3;['jaksa', 'tuntut', 'umum', 'tolak', 'seluruh', 'eksepsi', 'ahok', 'hukum', 'sidangahok', 'penistaanagama'];0
4;['menangkanislam', 'penjara', 'ahok', 'airmatabuaya', 'pemimpinmuslim'];0
5;['ayo', 'sama', 'sama', 'kawal', 'kasus', 'si', 'nista', 'agama', 'menangkanislam', 'penjara', 'ahok'];0
6;['tahanpenista', 'sandiwaraahok', 'basukiharusdibui', 'penjara', 'ahok'];0
7;['bingung', 'ya', 'jadi', 'dakwah', 'jadi', 'jadi', 'sandiwaraahok'];0
8;['ahok', 'polisi', 'dalam', 'sidang', 'perdana', 'sebut', 'ayat', 'adiliahok'];0
9;['umat', 'islam', 'boleh', 'lengah', 'lena', 'tetap', 'kawal', 'penjara', 'ahok'];0
10;['bentar', 'kok', 'si', 'nista', 'agama', 'tahan', 'airmatabuaya', 'tangisandusta'];0
11;['hari', 'sidang', 'dakwa', 'ahok', 'tegak', 'adil', 'tahan', 'ahok', 'penjara', 'ahok'];0
12;['satu', 'putar', 'langsung', 'jungkal', 'apa', 'makin', 'sehat', 'nalar', 'penjara', 'ahok'];0
13;['he', 'he', 'maaf', 'sara', 'eh', 'saru', 'roti', 'harga', 'diri', 'bukan', 'diskon', 'ribu', 'spirit', 'tetap'];0
14;['hukum', 'tegak', 'adil', 'adil', 'jangan', 'ada', 'sandiwara', 'sandiwaraahok'];0
15;['lantas', 'apa', 'yang', 'bicara', 'politik', 'sesuai', 'yakin', 'sebut', 'sara', 'penjara', 'ahok'];0
16;['dunia', 'adalah', 'cermin', 'raksasa', 'cermin', 'siapa', 'diri', 'penjara', 'ahok'];0
17;['mas', 'cukup', 'ahok', 'yang', 'pakai', 'kata', 'kasar', 'tidak', 'usah', 'ikut', 'penjara', 'ahok'];0
18;['apa', 'z', 'penjarain', 'cuma', 'manusia', 'satu', 'bro', 'hukumpenistaagama'];0
19;['sering', 'gusur', 'mas', 'masa', 'perintah', 'nya', 'rugi', 'ara', 'ratus', 'miliar', 'penjara', 'ahok'];0
20;['biar', 'gonggong', 'asal', 'jangan', 'lengah', 'kawal', 'terus', 'penjara', 'ahok'];0
21;['baik', 'susun', 'cuma', 'sekadar', 'citra', 'akhir', 'tahu', 'sandiwaraahok'];0
22;['kabareskrim', 'ahok', 'sangka', 'nista', 'agama', 'dukung', 'terus', 'polisi', 'penjara', 'ahok'];0
23;['ahok', 'jangan', 'cari', 'celah', 'masa', 'depan', 'anak', 'cucu', 'ara', 'cinta', 'tahan', 'ahok'];0
24;['air', 'mata', 'cicak', 'eh', 'buaya', 'kali', 'nista', 'agama', 'aksi', 'aksibelataipan'];0
