;teks;label
0;['kereen', 'nih', 'lihat', 'dgn', 'mata', 'kepala', 'sendiri', 'kota', 'wong', 'kito', 'galo', 'palembang', 'on', 'progres', 'lrt', 'nya', 'kejorapic', 'twitter', 'com', 'qlaxivdqrm'];1
1;['lrt', 'salah', 'satu', 'efek', 'positif', 'asi', 'games', 'palembang', 'yukkk', 'rame', 'sukses', 'asi', 'games', 'alexnoerdin', 'satusriwijayasatuindonesia'];1
2;['salah', 'satu', 'dampak', 'positif', 'bangun', 'lrt', 'tuju', 'masyarakat', 'sumsel', 'lebih', 'modern', 'alexnoerdin'];1
3;['itu', 'bangun', 'lrt', 'anggap', 'solusi', 'padat', 'kendara', 'lalu', 'lalang', 'kota', 'palembang', 'alexnoerdin'];1
4;['sumsel', 'provinsi', 'satu', 'ny', 'yg', 'milik', 'transportasi', 'masa', 'lrt', 'mskipun', 'jkt', 'sdh', 'mulai', 'dluan', 'ttp', 'sumsel', 'yg', 'bs', 'sukses', 'pmbangunny', 'alexnoerdin'];1
5;['mantab', 'sumsel', 'dunia', 'dgn', 'transportasi', 'modern', 'lrt', 'alexnoerdin'];1
6;['lrt', 'akn', 'jadi', 'palembang', 'lebih', 'modern', 'lrt', 'pertama', 'indonesia', 'selesai', 'alexnoerdin', 'kompascompic', 'twitter', 'com', 'v', 'wvgtxaw'];1
7;['lrt', 'jadi', 'palembang', 'kota', 'modern', 'pertama', 'indonesia', 'budi', 'karya', 'kemenhub', 'bangun', 'lrt', 'palembang', 'sesuai', 'harap', 'alexnoerdinpic', 'twitter', 'com', 'pupw', 'qqh'];1
8;['warga', 'sumsel', 'patut', 'takjub', 'dgn', 'progres', 'bangun', 'lrt', 'hari', 'ini', 'terimakasih', 'alexnoerdin', 'atas', 'kerja', 'keras', 'dlm', 'bangun', 'sumsel', 'pic', 'twitter', 'com', 'aomodkm', 'z'];1
9;['lrt', 'bakal', 'jadi', 'ikon', 'kota', 'palembang', 'alexnoerdin', 'http', 'www', 'tribunnews', 'com', 'video', 'lrt', 'bakal', 'jadi', 'ikon', 'kota', 'palembang', 'via', 'tribunnews'];1
10;['lrt', 'palembang', 'harap', 'tingkat', 'mutu', 'layan', 'transportasi', 'kota', 'jadi', 'moda', 'transportasi', 'ramah', 'lingkung'];1
11;['lrtsumsel', 'dg', 'tuju', 'tingkatkn', 'transportasi', 'kota', 'mll', 'cepat', 'wk', 'tempuh', 'kurang', 'macet', 'tingkat', 'keslmatan', 'trans', 'sumsel'];1
12;['lrtsumsel', 'kurang', 'macet', 'tingkat', 'selamat', 'transportasi', 'sumatera', 'selatan', 'alexnoerdin', 'humassumsel', 'detiktravel'];1
13;['lrt', 'palembang', 'siap', 'operasi', 'asi', 'games', 'http', 'kom', 'ps', 'afybwg'];1
