;teks;label
0;['tolol', 'gak', 'hubung', 'nya', 'gugur', 'dgn', 'pake', 'hijab', 'syar', 'i', 'yg', 'lo', 'bilang', 'bayi', 'nya', 'panas', 'dalem', 'gak', 'hubung', 'nya', 'woyyyy', 'otak', 'sama', 'jempol', 'lo', 'gak', 'singkron', 'sih', 'jadi', 'asal', 'nulis', 'komentar'];0
1;['geblek', 'lo', 'tata', 'cowo', 'bgt', 'bain', 'balik', 'hadeww', 'ntar', 'tinggal', 'lg', 'nyalahin', 'tuh', 'cowo', 'padahal', 'kitenya', 'yg', 'oon'];0
2;['kmrn', 'mewek', 'skr', 'lengket', 'lg', 'duhhh', 'kok', 'labil', 'bgt', 'sih', 'mbak', 'kya', 'abege', 'ajah', 'ato', 'yg', 'kmrn', 'cari', 'sensasi', 'biar', 'top', 'markotoppp', 'ertong', 'gk', 'kualitas'];0
3;['inti', 'kalau', 'kesel', 'att', 'nya', 'gausah', 'anak', 'juga', 'kasi', 'buat', 'kembang', 'psikis', 'anak', 'depan', 'orang', 'bener', 'bener', 'tolol', 'skrg', 'anda', 'punya', 'anak', 'terus', 'anak', 'dikatain', 'sama', 'orang', 'benci', 'sama', 'dia', 'gimana', 'asa', 'benci', 'sama', 'orang', 'boleh', 'harus', 'tau', 'batesnya', 'nama', 'manusia', 'gaakan', 'semua', 'jadi', 'suka', 'ada', 'haters'];0
4;['hadewwwww', 'permpuan', 'lg', 'sakit', 'jiwa', 'knp', 'dia', 'yg', 'jd', 'peran', 'utama', 'film', 'hantu', 'jeruk', 'purut', 'ky', 'khabis', 'stok', 'artis', 'ja'];0
5;['pantesan', 'tinggalin', 'laki', 'laki', 'mikir', 'kali', 'kalau', 'perempuan', 'kayagni', 'ngurus', 'diri', 'aja', 'gak', 'becus', 'gimana', 'ngurus', 'anak', 'mending', 'anak', 'sama', 'bapake', 'nya', 'aja', 'bener', 'didik'];0
6;['biasa', 'balajaer', 'nyampah', 'd', 'ig', 'artis', 'suka', 'yg', 'punya', 'ig', 'lah', 'mau', 'bikin', 'caption', 'apa', 'kok', 'balajaer', 'yg', 'heboh', 'asik', 'ceramahin', 'yg', 'punya', 'ig', 'tar', 'lama', 'd', 'bikinin', 'lagu', 'sm', 'teh', 'melly', 'loh', 'balajaer', 'yg', 'berjudulketika', 'balajaer', 'bersabdademi', 'seonggak', 'koin', 'laknat', 'nya', 'balajaer', 'ngamuk', 'arti', 'iya', 'banget', 'koin', 'laknat', 'nya', 'jd', 'goda', 'd', 'rt', 'nya', 'gigi', 'duh', 'elah', 'balajaer', 'smua', 'tau', 'kale', 'laku', 'biduan', 'lo', 'kek', 'apa', 'minus', 'segala', 'lagi', 'd', 'bela', 'mati', 'pd', 'sakit', 'jiwa'];0
7;['krn', 'bagi', 'besar', 'rakyat', 'indonesia', 'bodoh', 'tdk', 'beda', 'mana', 'yg', 'baik', 'mana', 'yg', 'buruk', 'sdh', 'tau', 'prilaku', 'buruk', 'tdk', 'tau', 'sopan', 'santun', 'yg', 'pilih', 'jd', 'panutan', 'lebih', 'idola', 'yg', 'murah', 'dr', 'pd', 'yg', 'kelas', 'ber', 'etika'];0
8;['ayu', 'janda', 'bego', 'pny', 'suami', 'kpn', 'nikah', 'lagi'];0
9;['anyiennnnggg', 'suara', 'ancur', 'banget', 'lebih', 'merdu', 'tukang', 'goreng'];0
