;teks;label
0;['undang', 'n', 'shanijkt', 'hitamputih', 'menang', 'ssk', 'jkt', 'harus', 'mjkt', 'lebih', 'layak', 'undang', 'prestasi'];1
1;['selamat', 'buka', 'puasa', 'moga', 'amal', 'ibadah', 'hari', 'ni', 'terima', 'allah', 'hitamputih'];1
2;['nih', 'trans', 'hitam', 'putih', 'dpt', 'harga', 'di', 'norwegia', 'hitamputih'];1
3;['selamat', 'mas', 'adietaufan', 'masuk', 'hitamputih'];1
4;['asiknya', 'nonton', 'hitam', 'putih', 'trans'];1
5;['trans', 'acara', 'paling', 'komplit', 'tarik', 'ada', 'hitam', 'putih'];1
6;['hitam', 'putih', 't', 'inspiratif', 'banget'];1
7;['suka', 'banget', 'acara', 'hitam', 'putih'];1
8;['keren', 'lu', 'bro', 'hitamputihtrans'];1
9;['tadi', 'yg', 'liat', 'hitam', 'putih', 'trans', 'ga', 'sanggu', 'ganteng'];1
10;['cinta', 'ikat', 'silaturahmi', 'hati', 'lunamaya', 'hitamputihtrans', 'www', 'instagram', 'com', 'p', 'btqszjjoa'];1
11;['terima', 'kasih', 'pak', 'mau', 'bantu', 'untuk', 'sekolah', 'adik', 'saya', 'hitamputihtrans'];1
12;['moga', 'lancar', 'hitamputihtrans'];1
13;['trans', 'hitam', 'putih', 'baik', 'www', 'instagram', 'com', 'p', 'btyytxmgvkd'];1
14;['acara', 'hitam', 'putih', 'paling', 'bagus', 'buat', 'lihat'];1
15;['trans', 'undang', 'da', 'rafly', 'acara', 'hitam', 'putih', 'yadia', 'jebol', 'dangdut', 'academi', 'pinter', 'nyanyi', 'lagu', 'india', 'suara', 'keren'];1
16;['bagus', 'rancang', 'ini', 'trans', 'hitamputih', 'dakwah', 'hibur', 'terima', 'kasih', 'ustadz', 'wijayanto'];1
17;['wah', 'kapan', 'rihanna', 'jadi', 'bintang', 'tamu', 'hitam', 'putih', 'kayak', 'asal', 'trans', 'jadi', 'kangen', 'kapan', 'tayang', 'di', 'trans'];1
18;['terimakasih', 'tonton', 'hitam', 'putih', 'malam', 'ini', 'moga', 'inspirasi', 'dapat', 'beri', 'ajar', 'utk', 'sobat', 'rafatharonhp'];1
19;['acara', 'hitam', 'putih', 'trans', 'topik', 'bagus', 'nih', 'ttg', 'pribadi', 'ganda'];1
20;['nonton', 'kisah', 'anastasya', 'wella', 'hitamputihtrans', 'seru', 'bgt', 'kisah', 'punya', 'pribadi', 'beda'];1
21;['bikin', 'selalu', 'rindu', 'kalau', 'jauh', 'nya', 'hitamputihtrans'];1
22;['hitamputih', 'wihh', 'hebat', 'kakek', 'nenek', 'trans'];1
23;['tunggu', 'sekian', 'lama', 'akhir', 'yukikatou', 'nongol', 'di', 'hitam', 'putih', 'trans'];1
