;teks;label
0;['selamat', 'pagi', 'bantu', 'di', 'kamar', 'sinyal', 'g', 'hilang', 'panggil', 'darurat'];0
1;['dear', 'akhir', 'jaring', 'data', 'lot', 'banget', 'padahal', 'h'];0
2;['selamat', 'malam', 'dusta'];0
3;['tembak', 'paket', 'masih', 'ganggu'];0
4;['rt', 'tak', 'lagi', 'kamus', 'perhapean', 'saya', 'boikot'];0
5;['keluh', 'gak', 'tanggap', 'bikin', 'emosi', 'aja', 'pulsa', 'curi', 'terus', 'soak', 'deh', 'masa', 'hari', 'pulsa', 'kurang', 'hari'];0
6;['bilboard', 'iklan', 'kok', 'pesan', 'sembunyi', 'boikot', 'ramadhan'];0
7;['mampus', 'bulan', 'puasa', 'subuh', 'mau', 'sahur', 'cek', 'pulsa', 'sedot', 'terus', 'sekarang', 'sisa', 'ribu', 'baca'];0
8;['pernah', 'coba', 'pakai', 'parah', 'koneksi'];0
9;['tuju', 'silah', 'boikot', 'langgan', 'dukung', 'hrs'];0
10;['bela', 'bain', 'daftarin', 'kartu', 'g', 'tunggu', 'jam', 'siang', 'puasa', 'rumah', 'sinyal', 'gnya', 'gak', 'ada', 'kota'];0
11;['data', 'kok', 'sering', 'hilang'];0
12;['internetlelet', 'ga', 'sesuai', 'iklan'];0
13;['kata', 'mbps', 'kecepatanya', 'cuma', 'kbps', 'kuota', 'full', 'ga', 'buka', 'google', 'udah', 'bikin', 'nguras', 'uang', 'baterai'];0
14;['kuota', 'internet', 'banyak', 'koneksi', 'internetnya', 'lambat', 'banget', 'g', 'lte'];0
15;['ampun', 'sinyal', 'g', 'lot', 'siput', 'acara', 'live', 'streaming', 'jadi', 'ganggu', 'mundur', 'terus'];0
16;['jaring', 'nabire', 'bagus', 'hanya', 'berita', 'hoax', 'hoax'];0
17;['makin', 'jelek', 'jaring', 'takalar'];0
18;['kualitas', 'provider', 'ganggu', 'trouble', 'mahal', 'hari', 'uselessg'];0
19;['sinyal', 'tai'];0
20;['jaring', 'internet', 'sumba', 'timur', 'parah'];0
