;teks;label
0;['jelek', 'film', 'si', 'ernest', 'gak', 'mutu', 'bgt', 'actingnya', 'film', 'sampah'];0
1;['film', 'king', 'arthur', 'film', 'paling', 'jelek', 'seluruh', 'cerita', 'king', 'arthur'];0
2;['beexkuanlin', 'panjang', 'film', 'gwa', 'kata', 'kasar', 'terus', 'bapak'];0
3;['ane', 'ga', 'suka', 'fast', 'and', 'furious', 'turut', 'kok', 'jelek', 'tu', 'film'];0
4;['baekhyun', 'kan', 'gua', 'ga', 'tau', 'film', 'nya', 'lu', 'bilang', 'perang', 'perang', 'perang', 'sebut', 'ama', 'rp', 'yaoi', 'jadi', 'ambigu', 'v'];0
5;['editingnya', 'yg', 'bagus', 'ya', 'sering', 'kecewa', 'dgn', 'film', 'indonesia', 'tunggu', 'film'];0
6;['kecewa', 'dgn', 'salah', 'satu', 'aktor', 'yg', 'nyata', 'dukung', 'nista', 'agama', 'ah', 'harus', 'sabar', 'utk', 'tak', 'tonton', 'film', 'ini'];0
7;['kecewa', 'parah', 'sama', 'film', 'the', 'guys', 'dear', 'radityadika', 'sorry', 'to', 'say', 'this'];0
8;['banyak', 'yg', 'kecewa', 'abis', 'nonton', 'film'];0
9;['themummy', 'film', 'paling', 'memgecewakan', 'lama', 'hidup', 'yah', 'padahal', 'sy', 'udh', 'berekspektasi', 'tinggi', 'suka', 'bgt', 'mesir', 'kuno'];0
10;['film', 'jelek', 'jelas', 'ga', 'isi'];0
11;['awal', 'bulan', 'nonton', 'film', 'indonesia', 'bioskop', 'kartini', 'critical', 'eleven', 'gambar', 'kartini', 'ale', 'anya', 'terlalu', 'lemah'];0
12;['nonton', 'film', 'kartini', 'miris', 'nyata', 'jaman', 'dan', 'jaman', 'sekarang', 'bangsa', 'tetap', 'bodoh', 'serakah', 'gila', 'kawin', 'ironis', 'celotehpagi'];0
13;['btw', 'danur', 'jelek', 'banget', 'gausah', 'tonton', 'hans', 'hansdavidian', 'gue', 'bayang', 'lo', 'bakal', 'meantweets', 'soal', 'film', 'ntar', 'lol'];0
