;teks;label
0;['banyak', 'akun', 'kloning', 'dukung', 'agussilvy', 'mulai', 'serang', 'paslon', 'aniessandi', 'opini', 'argumen', 'pmbenaran', 'jangan', 'kecoh'];0
1;['agussilvy', 'bicara', 'apa', 'kasihan', 'yaa', 'lap', 'air', 'mata', 'wkwkwkwk'];0
2;['kalau', 'aku', 'sih', 'gak', 'nunggu', 'hasil', 'akhir', 'qc', 'tp', 'nunggu', 'motif', 'cuit', 'pak', 'sbyudhoyono', 'kayak', 'apa', 'pasca', 'agussilvy', 'nyungsep'];0
3;['kasi', 'kasi', 'peluru', 'milyar', 'tiap', 'rw', 'agussilvy', 'mempan', 'menangin', 'pilkada', 'quickcount', 'pilkadaserentak'];0
4;['maaf', 'dukung', 'agussilvy', 'hayo', 'dukung', 'aniessandi', 'putar', 'ronavioleta', 'netizentofa'];0
5;['aneh', 'deh', 'lebay', 'masa', 'di', 'sangkut', 'paut', 'sama', 'kandidat', 'calgub', 'lebay', 'yg', 'dukung', 'agussilvy'];0
6;['allah', 'swt', 'ucap', 'rasa', 'syukur', 'kepada', 'pak', 'sbyudhoyono', 'presidensby', 'ahy', 'sampai', 'terimakasih', 'makna', 'suara', 'anda'];0
7;['terima', 'kasih', 'untuk', 'dukung', 'ahy', 'sylvi', 'kalian', 'beda', 'kali'];0
8;['trima', 'kasih', 'atas', 'keistiqomahan', 'rawan', 'ahy', 'agusyudhoyono', 'lah', 'yg', 'tlh', 'antar', 'aniessandidki', 'jakartagubernurbaru', 'dg', 'cukup', 'signifikan'];0
9;['kenang', 'pidato', 'kalah', 'ahy'];0
10;['dammnn', 'politik', 'cantik', 'sby', 'ngorbanin', 'ahy'];0
11;['batal', 'nyoblos', 'baru', 'tau', 'nyata', 'ga', 'no', 'kertas', 'suara', 'ahy', 'kangen', 'mosing'];0
12;['boleh', 'ngakak', 'survey', 'mu', 'jauh', 'panggang', 'api', 'ahy'];0
13;['aku', 'kemarin', 'ahy', 'april', 'suara', 'utk', 'paslon', 'dki'];0
14;['karna', 'belebihan', 'tidak', 'baik', 'bah', 'ahy'];0
15;['om', 'aa', 'lepas', 'ahy', 'kalah', 'kok', 'tutup', 'mulut', 'koar', 'mau', 'bongkar', 'sby'];0
16;['kalau', 'catut', 'nama', 'ahy', 'mpo', 'silvi', 'langgar', 'hukum', 'ga', 'ya', 'wkwkwkwkkwkk'];0
17;['pasti', 'fpi', 'kan', 'ga', 'suka', 'ama', 'ahok', 'jd', 'pas', 'ahy', 'udah', 'kalah', 'otomatis', 'dukung', 'lari', 'mas', 'anisa', 'aniessandi'];0
18;['lah', 'banteng', 'lah', 'garuda', 'ksatria', 'bpk', 'prabowo', 'gentle', 'spt', 'ahy', 'agusyudhoyono', 'jadi', 'cinta', 'sama', 'hajidjarot'];0
19;['gara', 'e', 'ktp', 'korupsi', 'foto', 'yg', 'mula', 'mirip', 'ahy', 'pelan', 'pasti', 'skrang', 'malah', 'mirip', 'stickmoticons'];0
20;['double', 'lol', 'aniesbaswedan', 'nuduh', 'agusyudhoyono', 'miskin', 'ide', 'sekarang', 'copy', 'ahy', 'sbyudhoyono', 'http', 'm', 'republika', 'co', 'id'];0
21;['nih', 'antasari', 'ahy', 'kalah', 'pilgubdki', 'melempem', 'dia', 'bener', 'bener', 'akting', 'www', 'instagram', 'com', 'p', 'brxabmtbueb'];0
