;teks;label
0;['bca', 'bca', 'memang', 'sip'];1
1;['app', 'bagus'];1
2;['sip', 'mantap'];1
3;['sagat', 'bantu'];1
4;['praktis', 'oke'];1
5;['keren', 'sempurna'];1
6;['suka', 'bingit'];1
7;['bca', 'sip'];1
8;['keren', 'mantap'];1
9;['bagus', 'oke'];1
10;['mayan', 'bantu', 'hehe'];1
11;['sangat', 'bantu', 'thnx', 'bca'];1
12;['thanks', 'bca', 'lgs', 'direspond', 'nih', 'skr', 'semua', 'sdh', 'normal', 'transaksi', 'makin', 'mudah', 'sukses', 'bca'];1
13;['transaksi', 'praktis', 'bagus', 'buanget', 'manfaat', 'transaksi', 'kapan', 'mana'];1
14;['cuma', 'satu', 'tdk', 'liat', 'mutasi', 'rekening', 'yg', 'oke', 'sangat', 'bantu'];1
15;['sangat', 'bantu', 'kalo', 'males', 'atm'];1
16;['sangat', 'bantu'];1
17;['mantapp', 'one', 'touch', 'app', 'bantu', 'transaksi', 'thnks'];1
18;['atm', 'yg', 'jangkau', 'byk', 'atmnya', 'd', 'desa', 'mudh', 'd', 'temu', 'atm', 'bca'];1
19;['suka', 'sekali', 'sangt', 'bantu', 'dlm', 'ber', 'transaksi'];1
20;['sangat', 'bagus', 'buat', 'mudah', 'ngecek', 'payrol', 'transfer'];1
21;['sipppp', 'sangat', 'mudah', 'sy', 'utk', 'laku', 'transaksi', 'uang'];1
22;['update', 'dah', 'bisa', 'fitur', 'tambah', 'cukup', 'bantu', 'beli', 'token', 'cek', 'mutasi', 'hari'];1
23;['siiiip', 'gak', 'error', 'thanks', 'bca'];1
24;['good', 'sangat', 'bantu', 'ak', 'buat', 'transaksi', 'scra', 'instan'];1
25;['simple', 'bgt', 'paling', 'baik', 'mobile', 'banking', 'lain'];1
26;['praktis', 'praktis', 'dab', 'efisien', 'tuk', 'transfer', 'bank', 'bca'];1
27;['mudah', 'guna', 'n', 'jadi', 'transaksi', 'ga', 'perlu', 'mesin', 'atm'];1
28;['cara', 'mudah', 'buat', 'cek', 'saldo'];1
29;['bagus', 'jd', 'lebih', 'mudah', 'ecek', 'saldo'];1
30;['helpful', 'ngebantu', 'kalo', 'ken', 'cek', 'saldo'];1
31;['bca', 'mobile', 'mudah', 'transaksi', 'e', 'banking'];1
32;['m', 'bca', 'solusi', 'perban', 'cermat', 'tepat'];1
33;['bagus', 'nih', 'udh', 'ke', 'versi'];1
34;['very', 'nice', 'sangat', 'bantu', 'thanks', 'bca'];1
35;['bca', 'mobile', 'praktis', 'laaaahh', 'top', 'markotop'];1
36;['thanks', 'bca', 'sdh', 'support', 'android', 'kitkat', 'di', 'coba', 'bro', 'sis'];1
37;['good', 'job', 'memudahkn', 'bgi', 'laku', 'bisnis', 'smw', 'y', 'jdi', 'muluss'];1
38;['lebih', 'cepat', 'akurat', 'info', 'rekening', 'mutasi'];1
39;['sip', 'bantu', 'transaksi', 'lebih', 'mudah'];1
40;['good', 'hemat', 'waktu', 'transaksi'];1
41;['mudah', 'n', 'g', 'ribett', 'sipp', 'deh'];1
42;['mbca', 'sangat', 'tolong', 'kalo', 'saldo'];1
43;['slalu', 'bantu', 'sgala', 'bidang', 'bank'];1
44;['sangat', 'praktis', 'mudah', 'guna', 'n', 'pantau'];1
45;['jd', 'lebih', 'mudah', 'thank', 'bca'];1
46;['bca', 'oke', 'sangat', 'mudah', 'transasi'];1
47;['tq', 'jd', 'bantu'];1
48;['mantap', 'trima', 'ksh', 'bca'];1
49;['mantap', 'tambah', 'lbh', 'simple'];1
50;['puas', 'simpel', 'cepat'];1
51;['nice', 'sy', 'sdh', 'lama', 'pke', 'aplikasi', 'ini', 'beberapa', 'kali', 'ganti', 'smartphone', 'no', 'problem', 'n', 'sgt', 'bantu', 'krn', 'g', 'ketik', 'via', 'web'];1
