;teks;label
0;['bosen', 'singgah', 'pagi', 'siang', 'sore', 'malam', 'ramai', 'keliling', 'jalan', 'lingkar', 'bundar', 'ramai', 'kendara', 'jarang', 'alun', 'alun', 'bundar', 'keliling', 'gedung', 'dpr', 'kantor', 'balaikota', 'hotel', 'tugu', 'sekolah', 'favorit', 'destinasi', 'wisata', 'kuliner', 'hehe'];1
1;['sedia', 'parkir', 'luas', 'resto', 'tata', 'apik', 'rapi', 'pandang', 'indah', 'sedia', 'agam', 'menu', 'nusantara', 'es', 'campur', 'segarr', 'angsle', 'porsi', 'relatif', 'cocok', 'potret', 'suasana', 'santai'];1
2;['kamar', 'bersih', 'luas', 'staf', 'ramah', 'lokasi', 'guesthouse', 'kota', 'strategis', 'sarap', 'variasi', 'biasa', 'aja', 'harga', 'yg', 'pesan', 'booking', 'com', 'lebih', 'murah', 'sarap', 'lebih', 'langsung', 'booking', 'guesthousenya'];1
3;['malang', 'menajubkan', 'lihat', 'kampung', 'warna', 'wrni', 'ni', 'bagus', 'biasa', 'unik', 'masuk', 'hnya'];1
4;['masjid', 'bersih', 'kota', 'malang', 'letak', 'berangan', 'alun', 'alun', 'kota'];1
5;['minggu', 'senang', 'giat', 'inap', 'harris', 'malang', 'kamar', 'nyaman', 'bersih', 'rapi', 'sarap', 'enak', 'senang', 'menu', 'makan', 'siang', 'malam', 'variatif', 'lezat', 'lokasi', 'pusat', 'kota', 'malang', 'giat', 'keluyur'];1
6;['pergi', 'libur', 'keluarga', 'objek', 'wisata', 'tsunami', 'memmorable', 'taman', 'bagus', 'my', 'dougther', 'suka'];1
7;['malang', 'town', 'square', 'matos', 'konsep', 'paruh', 'mall', 'paruh', 'itc', 'toko', 'toko', 'baju', 'itc', 'tenant', 'mall', 'matahari', 'departemen', 'store', 'groceries', 'shopping', 'hypermart', 'inap', 'hotel', 'bahan', 'malang', 'town', 'square', 'sulit', 'cari', 'makan', 'restaurantnya', 'yoshinoya', 'pizza', 'hut', 'foodcourt', 'pilih', 'makan', 'matos', 'lengkap', 'sedia', 'salon', 'apotik'];1
8;['museum', 'bentoel', 'museum', 'diri', 'kenang', 'jalan', 'pabrik', 'rokok', 'bentoel', 'malang', 'legenda', 'diri', 'lokasi', 'rumah', 'diri', 'rokok', 'bentoel', 'ong', 'hok', 'liong', 'jalan', 'wiromargo', 'konsep', 'museum', 'pamer', 'barang', 'barang', 'peninggalang', 'mendiang', 'ong', 'hok', 'liong', 'keluarga', 'usaha', 'alih', 'tangan', 'bat', 'museum', 'rombak', 'ubah', 'konsep', 'lebih', 'modern', 'pajang', 'sejarah', 'bentoel', 'museum', 'bnetoel', 'lengkap', 'wahana', 'elektonik', 'interaktif', 'muat', 'sejarah', 'bat', 'kembang', 'industri', 'rokok'];1
9;['pasar', 'burung', 'bunga', 'lebih', 'kenal', 'nama', 'pasar', 'splendit', 'letak', 'kota', 'malang', 'letak', 'balaikota', 'tepat', 'jalan', 'majapahit', 'jalan', 'tumapel', 'jalan', 'brawijaya', 'area', 'pasar', 'bunga', 'pasar', 'burung', 'pasar', 'ikan', 'pasar', 'dagang', 'hewan', 'hewan', 'pelihara', 'anjing', 'kucing', 'ayam', 'hutan', 'kera', 'kura', 'kura', 'ular', 'hamster', 'kelinci', 'iguana', 'tokek', 'hewan', 'hewan', 'jual', 'harga', 'pas', 'alias', 'tawar'];1
10;['bagus', 'foto', 'pasar', 'hewan', 'stasiun', 'kereta', 'api', 'malang', 'depan', 'bangun', 'kantor', 'walikota', 'malang', 'tempat', 'asri', 'sejuk'];1
11;['masjid', 'jam', 'alun', 'alun', 'pusat', 'kota', 'malang', 'kawasan', 'kayu', 'tangan', 'lebih', 'tepat', 'jalan', 'merdeka', 'barat', 'no', 'malang', 'jawa', 'timur', 'masjid', 'salah', 'masjid', 'tua', 'jawa', 'timur', 'masjid', 'ampel', 'surabaya', 'masjid', 'jam', 'pasuruan', 'bangun', 'masjid', 'jam', 'malang', 'alami', 'kali', 'luas', 'ubah', 'bentuk', 'masjid', 'masjid', 'jam', 'malang', 'nampak', 'jaga', 'tiang', 'tiang', 'masjid', 'jam', 'malang', 'buah', 'simbol', 'simbol', 'sifat', 'wajib', 'allah', 'tiang', 'simbol', 'sifat', 'nabi', 'muhammad', 'soo', 'ibadah', 'masjid', 'simbol', 'kota', 'malang'];1
12;['jalan', 'majapahit', 'letak', 'alun', 'alun', 'kota', 'malang', 'taman', 'rekreasi', 'kota', 'biasa', 'tarekot', 'bilang', 'taman', 'rekreasi', 'satwa', 'aneka', 'burung', 'kolam', 'renang', 'tutup', 'lumayan', 'sih', 'dar', 'jalan', 'jalan', 'pusat', 'kota', 'malang'];1
13;['malang', 'sejuk', 'kunjungin', 'lokasi', 'balai', 'kota', 'pohon', 'nyaman', 'photo', 'okay', 'bangunananya', 'khas', 'belanda'];1
14;['indah', 'sejuk', 'nyaman', 'enak', 'lihat', 'rame', 'pokok', 'nya', 'indah', 'banget', 'aja', 'gk', 'pulang', 'alun', 'alun', 'kota', 'malang', 'masjid', 'nya', 'gede', 'pokok', 'biasa', 'dech', 'lofyu', 'alun', 'alun', 'malang'];1
15;['masjid', 'agung', 'jam', 'letak', 'pusat', 'kota', 'malang', 'letak', 'damping', 'alun', 'alun', 'kota', 'malang', 'gereja', 'arsitektur', 'masjid', 'indah', 'saji', 'wisata', 'sendiri', 'unjung'];1
16;['hotel', 'bintang', 'malang', 'coba', 'hotel', 'cocot', 'long', 'stay', 'lebih', 'kali', 'long', 'stay', 'hotel', 'check', 'in', 'layan', 'ramah', 'layan', 'hotel', 'ruang', 'bersih', 'titik', 'kamar', 'mandi', 'karat', 'breakfast', 'bandingklan', 'hotel', 'malang', 'santika', 'menu', 'pilihanya', 'taste', 'enak'];1
17;['masjid', 'jam', 'kota', 'malang', 'diri', 'ramai', 'pusat', 'belanja', 'kota', 'malang', 'bahan', 'gereja', 'kota', 'malang', 'hadap', 'masjid', 'alun', 'alun', 'kota', 'malang', 'biasa', 'unjung', 'alun', 'alun', 'kota', 'malang', 'laksana', 'ibadah', 'shalat', 'masjid', 'masjid', 'besar', 'kota', 'malang', 'megah', 'nyaman', 'sirkulasi', 'udara', 'bagus', 'asa', 'pengap', 'orang', 'malang', 'air', 'dingin', 'ambil', 'air', 'wudhu', 'toilet', 'unjung', 'lewat', 'genang', 'air', 'sejuk', 'masjid', 'lantai', 'wudhu', 'laki', 'laki', 'belah', 'kiri', 'bangun', 'jamaah', 'wanita', 'sisi', 'shalat', 'jumat', 'jalan', 'mesjid', 'tutup', 'pakir', 'kendara', 'motor', 'jalan', 'pasar', 'padat', 'laksana', 'ibadah', 'shalat', 'jumat'];1
18;['tempat', 'asyik', 'nyaman', 'bersih', 'letak', 'rumah', 'araya', 'view', 'bagus', 'foto', 'keluarga', 'beda', 'resto', 'laen', 'makan', 'minum', 'pilih'];1
19;['mewah', 'elegant', 'pandang', 'malam', 'nya', 'enak', 'mesjid', 'sejuk', 'bawa', 'damai', 'jaga', 'bersih', 'mesjid'];1
