;teks;label
0;['yuppp', 'utang', 'perintah', 'jg', 'utang', 'bangsa', 'indonesia', 'arti', 'jg', 'hutang', 'nya', 'aku', 'captain', 'covid', 'kalo', 'orang', 'itu', 'serah', 'mereka', 'but', 'aku', 'ini', 'apa', 'ada', 'perintah', 'tetap', 'bala', 'tentara', 'allah', 'swt', 'arti', 'sahabat', 'baik', 'nya', 'aku', 'twitter', 'com', 'asiahah', 'status'];0
1;['yuks', 'kawal', 'bijak', 'perintah', 'jangan', 'salah', 'guna', 'oknum', 'tanggung', 'jawab', 'indonesia', 'menang', 'lawan', 'covid', 'twitter', 'com', 'ardhiona', 'status'];1
2;['yukk', 'sama', 'bahu', 'bahu', 'membantuu', 'perintah', 'putus', 'rantai', 'covid', 'putus', 'rantai', 'kebenciann', 'indonesia', 'normal'];1
3;['yuk', 'sahabat', 'samasama', 'jaga', 'jarak', 'antar', 'manusia', 'lebih', 'banyak', 'laku', 'giat', 'rumah', 'sesuai', 'bijak', 'perintah', 'indonesia', 'cegah', 'tular', 'virus', 'corona', 'covid', 'lalu', 'http', 'simpulkebaikan', 'id', 'baznasindonesia', 'baznasbazis', 'bersamacegahcoronapic', 'twitter', 'com', 'pz', 'o', 'ppwls'];1
4;['yuk', 'sahabat', 'sama', 'sama', 'jaga', 'jarak', 'antar', 'manusia', 'lebih', 'banyak', 'laku', 'giat', 'rumah', 'sesuai', 'bijak', 'perintah', 'indonesia', 'cegah', 'tular', 'virus', 'corona', 'covid', 'stay', 'safe', 'stay', 'strong', 'and', 'stay', 'together', 'bersamacegahcoronapic', 'twitter', 'com', 'z', 'rpw', 'obi'];1
5;['yuk', 'perintah', 'duduk', 'indonesia', 'kasih', 'wawas', 'informasi', 'masyarakat', 'awam', 'kena', 'covid', 'nggak', 'lagi', 'diskriminasi', 'pasien', 'keluarga', 'jenazah', 'covid', 'jangan', 'jadi', 'tolol', 'panjang', 'gara', 'gara', 'virus', 'sial', 'ini', 'bersatuusircorona', 'dirumahaja'];1
6;['yuk', 'pak', 'jokowi', 'karantinawilayah', 'lockdownindonesia', 'kapan', 'lihat', 'naik', 'kasus', 'positif', 'covid', 'hari', 'hari', 'jumlah', 'mati', 'yg', 'terus', 'tingkat', 'cari', 'solusi', 'bantu', 'segala', 'dampak', 'buruk', 'lockdown', 'masyarakat', 'kapan', 'indonesia', 'begini', 'pak'];0
7;['yuk', 'gaesss', 'ikut', 'atur', 'bijak', 'perintah', 'memang', 'harus', 'socialdistancing', 'dirumahaja', 'dulu', 'kasus', 'virus', 'corona', 'covid', 'indonesia', 'terus', 'tambah', 'data', 'hari', 'senin', 'jumlah', 'www', 'instagram', 'com', 'p', 'b', 'gu', 'p', 'ag', 'igshid', 'cz', 'i', 'zyqvao'];1
8;['yuk', 'dukung', 'terus', 'langkah', 'positif', 'perintah', 'dlm', 'tanggulang', 'wabah', 'covid', 'ini', 'perintah', 'pikir', 'penting', 'rakyat', 'indonesia', 'saat', 'sbg', 'wni', 'suara', 'hal', 'positif', 'tdk', 'buat', 'gaduh', 'resah', 'atau', 'hoaks'];1
9;['yth', 'sluruh', 'rakyat', 'indonesia', 'dgn', 'sy', 'ajak', 'sluruh', 'rakyat', 'satu', 'buat', 'indonesia', 'bebas', 'covid', 'sdh', 'cukup', 'yg', 'sakit', 'yg', 'phk', 'dsb', 'laku', 'atur', 'perintah', 'jokowi', 'ridwankamil', 'rahmayadiedy', 'ganjarpranowo', 'khofifahip', 'diskominfomedan', 'yradianto', 'dickusnadi'];1
10;['yth', 'bp', 'pak', 'jk', 'rakyat', 'bantu', 'doa', 'pak', 'wabah', 'lalu', 'bagai', 'rakyat', 'dukung', 'perintah', 'pak', 'misal', 'dgn', 'kaya', 'kita', 'bangun', 'rs', 'karantina', 'yg', 'jangkit', 'covid', 'kalo', 'saran', 'saja', 'jt', 'rakyat', 'indonesia', 'beri', 'saran', 'pak'];1
