;teks;label
0;['paham', 'omnibus', 'law', 'a', 'thread', 'of', 'threads'];1
1;['contoh', 'twit', 'dapat', 'dg', 'omnibus', 'law', 'dg', 'bahasa', 'yg', 'halus', 'multi', 'interpretasi', 'alias', 'main', 'aman'];1
2;['buka', 'ig', 'liat', 'explore', 'isi', 'omnibus', 'law', 'mau', 'ikut', 'masih', 'awam', 'cuman', 'tau', 'dikit', 'doang', 'nan', 'dikatain', 'ah', 'paling', 'cuman', 'buat', 'formalitas', 'story', 'doang', 'lo', 'rak', 'gaikut', 'kek', 'gimana', 'ga', 'guna', 'bgt', 'gue', 'tuhan'];1
3;['meski', 'kerja', 'pt', 'cari', 'cinta', 'sejati', 'tetep', 'suara', 'protes', 'uu', 'omnibus', 'law'];1
4;['jujur', 'aja', 'soal', 'omnibuslaw', 'aku', 'no', 'comment', 'dulu', 'sampe', 'aku', 'baca', 'paham', 'isi', 'baca', 'rangkum', 'orang', 'orang', 'malah', 'misleading', 'pusing', 'akutu'];1
5;['berat', 'bidang', 'didik', 'cantum', 'uu', 'omnibus', 'law', 'cipta', 'kerja', 'taman', 'siswa', 'bakal', 'gugat', 'mk'];1
6;['yang', 'ngetikin', 'omnibuslaw', 'filenya', 'pake', 'omnibuslaw', 'fixx', 'omnibuslaw', 'fixx', 'banget', 'omnibuslawfixx', 'finish', 'omnibuslaw', 'fixxxxxx', 'omnibuslaw', 'setor', 'apa', 'yaa', 'revisi', 'dooong', 'omnibuslaw', 'revisi', 'omnibuslaw', 'revisi', 'fix', 'omnibuslaw', 'revisi', 'fix', 'banget', 'dah', 'apa', 'juga'];1
7;['twiter', 'plis', 'yu', 'yur', 'magic', 'mohon', 'minta', 'bantu', 'nya', 'temen', 'temen', 'buat', 'kawan', 'yang', 'kena', 'musibah', 'hari', 'kemarin', 'aksi', 'ruu', 'omnibuslaw', 'kawan', 'bantu', 'kawan', 'bantu', 'share'];1
8;['baca', 'baca', 'baca', 'lihat', 'video', 'diskusi', 'sampai', 'ini', 'hati', 'kecil', 'masih', 'pihak', 'minoritas', 'yg', 'di', 'timeline'];1
9;['gila', 'tl', 'twitter', 'gw', 'kayak', 'udah', 'bakar', 'aja', 'gara', 'omnibuslaw'];1
10;['kalau', 'omnibuslaw', 'jadi', 'sah', 'kan', 'gaji', 'rakyat', 'kan', 'kurang', 'ntar', 'siapa', 'dong', 'gaji', 'kalian', 'fasilitas', 'kalian', 'bayar', 'tidur', 'kalian'];1
11;['abis', 'nongkrong', 'ngobrol', 'sama', 'temen', 'kata', 'pro', 'omnibuslaw', 'padahal', 'kakak', 'buruh', 'hehe'];1
12;['uu', 'omnibuslaw', 'bkl', 'buka', 'lapang', 'kerja', 'bru', 'seirng', 'brtambahnya', 'investasi', 'yng', 'masuk'];1
