;teks;label
0;['jadi', 'menteri', 'didik', 'memang', 'pusing', 'banget', 'sekarang', 'buka', 'sekolah', 'malah', 'bikin', 'cluster', 'baru', 'bikin', 'ajar', 'online', 'tuduh', 'ngga', 'mikirin', 'yg', 'ngga', 'punya', 'fasilitas', 'kalau', 'kalian', 'solusi', 'paling', 'benar', 'gimana', 'kira'];-1.0
1;['salah', 'satu', 'curhatan', 'anak', 'sma', 'ngerasain', 'sekolah', 'online', 'gabayangin', 'susah', 'gimana', 'anak', 'kuliah', 'udah', 'biasa', 'ajar', 'mandiri', 'aja', 'susah', 'gimana', 'anak', 'sekolah', 'masih', 'butuh', 'bimbing'];-1.0
2;['ngga', 'uang', 'buat', 'nabung', 'ngga', 'dapet', 'uang', 'jajan', 'lama', 'libur', 'sekolah', 'jadi', 'nunggu', 'masuk', 'sekolah', 'buat', 'nabung', 'buat', 'beli', 'perlu', 'sekolah', 'lain', 'sekarang', 'sekolah', 'online', 'jadi', 'beli', 'kuota', 'bulan', 'tokopedia', 'tokopediaxtwice'];-1.0
3;['ribet', 'banget', 'soal', 'sekolah', 'gue', 'tuh', 'absen', 'mulai', 'jam', 'pagi', 'tugas', 'mulai', 'jam', 'tiap', 'ganti', 'ajar', 'absen', 'per', 'ajar', 'tugas', 'jibun', 'deadline', 'jaman', 'cape', 'ni', 'sokolah', 'online', 'blm', 'ovehinknya', 'yg', 'makin', 'bikin', 'capek'];-1.0
4;['sekarang', 'mau', 'sekolah', 'ajaa', 'cape', 'kalo', 'ajar', 'online'];-1.0
5;['gatau', 'kek', 'engga', 'hrsnya', 'amin', 'gua', 'gamau', 'panas', 'an', 'kuliah', 'anjritt', 'plis', 'im', 'not', 'ready', 'tp', 'ppsmb', 'aja', 'online', 'kok', 'yakeles', 'kuliah', 'offline', 'smoga', 'aj', 'klo', 'pake', 'lab', 'yg', 'tatap', 'muka', 'br', 'masuk', 'akal', 'hufita', 'yakali', 'nji', 'jihad', 'gw', 'buat', 'sekolah', 'aja', 'bnyk', 'tmn', 'dr', 'zona', 'iteng'];-1.0
6;['alhamdulillah', 'jangan', 'lupa', 'jaga', 'sehat', 'testi', 'sekolah', 'online', 'bikin', 'puyeng', 'wkwk'];1.0
7;['waktu', 'ajar', 'sih', 'masalah', 'utama', 'semua', 'kita', 'udah', 'buat', 'plan', 'ajar', 'eeh', 'tiba', 'tiba', 'tugas', 'online', 'sekolah', 'menimpaingin', 'rasa', 'pake', 'joki', 'tugas', 'ga', 'si', 'heehehe', 'aku', 'sefrustasi', 'karena', 'memang', 'tugas', 'beri', 'banyak', 'dengan', 'deadline', 'pet'];-1.0
8;['trs', 'lewat', 'dua', 'minggu', 'langsung', 'sekolah', 'online', 'kan', 'sumpah', 'aku', 'stress', 'banget', 'kyk', 'kalo', 'seko', 'dpt', 'tugas', 'lo', 'kan', 'nawar', 'jangan', 'banyak', 'gitu'];-1.0
9;['percumah', 'bgt', 'sekolah', 'online', 'otak', 'gue', 'ga', 'kaya', 'internet', 'selalu', 'online'];-1.0
10;['tata', 'kelola', 'uang', 'online', 'sangat', 'mudah', 'segi', 'administratif', 'tentu', 'mudah', 'pihak', 'sekolah'];1.0
11;['min', 'sudah', 'ikut', 'arah', 'yg', 'ikan', 'jaring', 'masalah', 'tidak', 'stabil', 'sebentar', 'sebentar', 'g', 'trus', 'pindah', 'jadi', 'e', 'kasihan', 'anak', 'anak', 'sekolah', 'sini', 'ajar', 'online', 'min', 'di', 'baik', 'jaring', 'min', 'telkomsel'];-1.0
12;['adeknya', 'sekolah', 'online', 'malah', 'kakak', 'pusing', 'siapa', 'gitu', 'sini', 'berkumpulah', 'bagi', 'tutorial', 'asuh', 'ad'];-1.0
13;['kalau', 'minta', 'uang', 'ibu', 'buat', 'beli', 'kuota', 'sekolah', 'online', 'aja', 'sama', 'buat', 'bayar', 'lks', 'sekolah', 'aku', 'punya', 'adek', 'adekku', 'udah', 'mau', 'masuk', 'smp', 'orang', 'tua', 'ku', 'bilang', 'kalau', 'ngga', 'bantu', 'banyak', 'kalau', 'kuliah', 'karena', 'adekku', 'udah', 'besar', 'bapak', 'ibu', 'udah', 'tua'];-1.0
14;['ampun', 'keren', 'betul', 'good', 'luck', 'lumayan', 'nih', 'wkwk', 'tadi', 'pagi', 'sekolah', 'online', 'kayak', 'biasa', 'trus', 'lanjut', 'nangisin', 'mapel', 'wkwk', 'sedikit', 'sedih', 'but', 'oke'];1.0
15;['ortu', 'yg', 'stress', 'krn', 'sekolah', 'online', 'cuma', 'anak', 'kecil', 'wkwk', 'kalau', 'anak', 'yg', 'abg', 'pasti', 'suruh', 'ngurus', 'keribetan', 'sekolah', 'online', 'ade', 'nya'];-1.0
16;['gue', 'klau', 'sekolah', 'online', 'kurang', 'paham', 'ama', 'materi'];-1.0
17;['nah', 'iya', 'takut', 'gitu', 'kemarin', 'soal', 'kakel', 'beneran', 'praktek', 'terus', 'sekolah', 'nya', 'online', 'gimana', 'dong'];-1.0
