;teks;label
0;['kata', 'indonesia', 'harga', 'bangsa', 'asing', 'berita', 'pasti', 'hoax', 'buat', 'kuasa', 'kan'];-1
1;['negara', 'ngutang', 'buat', 'bngun', 'infrastruktur', 'udah', 'dipake', 'masyarakat', 'terus', 'masyarakat', 'ngeluh', 'negara', 'ngutang', 'negara', 'pasti', 'ngutang', 'utang', 'bayar', 'kalo', 'negara', 'dapet', 'hasil', 'hasil', 'negara', 'ya', 'pajak'];-1
2;['masa', 'tenang', 'msih', 'ngoceh', 'aja', 'ttp', 'jokowi', 'harga', 'mati'];-1
3;['prabowo', 'sandi', 'sepakat', 'tak', 'ambil', 'gaji', 'negara', 'sedang', 'susah'];-1
4;['gak', 'nginti', 'lu', 'to', 'si', 'abdillahtoha', 'gak', 'ngacaaa', 'gak', 'usah', 'ngajarin', 'sandi', 'soal', 'ekonomi', 'banding', 'jokowi'];-1
5;['pilih', 'prabowo', 'sandiaga', 'janji', 'tak', 'ambil', 'gaji', 'tahu', 'orang', 'orang', 'superkaya', 'mbok', 'rendah', 'hati', 'jangan', 'nyata', 'kata', 'konotasi', 'angkuh'];-1
6;['apa', 'bapak', 'gak', 'harga', 'rawan', 'yg', 'puasa', 'tirakat', 'munajad', 'malam', 'suntuk', 'doa', 'menang', 'mhn', 'balas', 'tweet', 'kontribusi', 'ngopi', 'rokok', 'mereka', 'yg', 'tirakat', 'mujahadah', 'tdk', 'gagal', 'ayo', 'semua', 'tirakat', 'munajad', 'in'];-1
7;['ummat', 'islam', 'yg', 'waras', 'cerdas', 'senang', 'amal', 'coblos', 'prabowo', 'ikut', 'andil', 'dlm', 'amal', 'gaji', 'beliau', 'tdk', 'ambil', 'tp', 'untk', 'amal'];-1
8;['model', 'ngeles', 'truk', 'ketaker', 'ber', 'busa', 'depan', 'sandi', 'ngomongin', 'ekonomi', 'makro', 'dg', 'congkak', 'untung', 'sandi', 'nya', 'sabar', 'gak', 'kick', 'balik', 'pantesan', 'menteri', 'yg', 'pintar', 'mbodoni', 'lha', 'juragan', 'kyk', 'gin', 'pek', 'k', 'nya'];-1
9;['polri', 'gakan', 'ladenin', 'sama', 'pak', 'pulisi', 'karna', 'pak', 'pulisi', 'gaji', 'sama', 'pake', 'duit', 'buka', 'sama', 'rakyat', 'lapor', 'nya', 'aja', 'tunggu', 'udah', 'ganti', 'presiden'];-1
10;['bagus', 'dukung', 'jokowi', 'tebang', 'pohon', 'bkn', 'dg', 'golok', 'gergaji', 'dg', 'ranting', 'pohon', 'sendiri', 'jadi', 'elektabilitas', 'jokowi', 'nyungseb', 'bkn', 'lawan', 'politik', 'oleh', 'dukung', 'dalam', 'sendiri', 'tolol', 'pelihara', 'dasar', 'ebong'];-1
11;['kelar', 'hidup', 'bisa', 'cuma', 'harga', 'mahal', 'turun', 'solusi', 'kubu', 'prabowo', 'bahlull'];-1
12;['meski', 'aku', 'surga', 'mungkin', 'aku', 'tak', 'bahagia', 'bahagia', 'tak', 'sempurna', 'bila', 'tanpa', 'gandeng', 'tangan', 'prabowo', 'baru', 'jadi', 'ustad', 'yakin', 'masuk', 'surga', 'ckckckck', 'salah', 'milih', 'guru', 'ngaji', 'gue'];-1
13;['buat', 'anggota', 'id', 'tdk', 'layak', 'gaji', 'baik', 'rasa', 'malu', 'utama', 'isi', 'perut', 'gede', 'bacot', 'minim', 'toreh', 'prestasi', 'cc'];-1
14;['he', 'he', 'he', 'sok', 'bijak', 'nih', 'antek', 'orba', 'pikir', 'letjen', 'pecat', 'bilang', 'biang', 'kerok', 'ekonomi', 'indonesia', 'presiden', 'jokowi', 'jenderal', 'sby', 'gimana', 'demokrat', 'ngga', 'alih', 'dukung', 'jokowi', 'coba'];-1
15;['jokowi', 'naik', 'tax', 'ratio', 'drastis', 'guncang', 'ekonomi'];-1
16;['situ', 'pak', 'jokowi', 'bahas', 'game', 'online', 'main', 'profesional', 'bahkan', 'sekarang', 'udah', 'piala', 'presiden', 'mobile', 'legend', 'hadiah', 'sangat', 'besar', 'mau', 'saing', 'dunia', 'online', 'game', 'ekonomi', 'kita', 'juga', 'naik'];-1
17;['alas', 'prabowo', 'sandi', 'tak', 'terima', 'gaji', 'menang', 'negara', 'sedang', 'susah'];-1
18;['he', 'he', 'he', 'pikir', 'letjen', 'pecat', 'bilang', 'biang', 'kerok', 'ekonomi', 'presiden', 'jokowi', 'jenderal', 'sby', 'jenderal', 'soeharto', 'yg', 'bintang', 'nya', 'sampe', 'lima', 'dungu'];-1
19;['terus', 'lah', 'suara', 'minta', 'adil', 'suara', 'arti', 'id', 'kerja', 'benar', 'jangan', 'makan', 'gaji', 'buta', 'jangan', 'curang'];-1
20;['jelas', 'jokowi', 'lah', 'prabowo', 'sandi', 'pecicilan', 'selalu', 'pesimis', 'jalan', 'keluar', 'jelas', 'ekonomi', 'makro', 'mikro', 'tak', 'tau'];-1
