text,label
"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.
 
 #vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua
 
 Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",1
"Sama seperti kita yang ingin pandemi segera berakhir, mereka para relawan tenaga kesehatan juga berharap ini semua lekas berakhir. 
 
 #VaksinUntukKita https://t.co/aFgSEhKd4H",1
"Dengan dukung satu sama lain, masa-masa seperti ini pasti akan segera terlewati. Diaminin aja yah semua ini cepat berakhir, dan kita semua bisa menata hidup yang lebih baik lagi dengan bantuan vaksin! 
 
 #VaksinUntukKita https://t.co/7Ol220FPLV",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 
 #JabatanPenerangan https://t.co/2f18p5aqmJ",1
"Pakar kesehatan masyarakat mengingatkan vaksin COVID-19 bukan obat ampuh yang sesuai harapan setiap orang.
 
 Ada vaksin bukan berarti meninggalkan langkah-langkah pencegahan virus seperti menjaga jarak, cuci tangan, atau pakai masker.
 
 #vaksin #CBnews 
 
 https://t.co/miaPBMZOHS",1
"Pemerintah jamin vaksin covid-19 aman dan halal 
 https://t.co/qqmpEbk5Xi
 #VaksinUntukNegeri #VaksinCOVID19 #vaksincorona #vaksingratisutkrakyat",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 https://t.co/1mUFNW7O4K",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 https://t.co/1mUFNW7O4K",1
"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.
 
 #vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua
 
 Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",1
"Sama seperti kita yang ingin pandemi segera berakhir, mereka para relawan tenaga kesehatan juga berharap ini semua lekas berakhir. 
 
 #VaksinUntukKita https://t.co/aFgSEhKd4H",1
"Kalau karena #Corona merasa tidak takut?
 
 Mengapa harus takut #Vaksin 
 
 Padahal #vaksincorona adalah ikhtiar mengahadapi #Covid_19 
 
 #VaksinUntukNegeri 
 #vaksinuntukkita",1
"COVID-19 boleh dicegah menggunakan vaksin. 
 
 Beginilah cara vaksin berfungsi dalam badan kita!
 
 #KomunikasiKita
 #VaksinCOVID19 
 #JabatanPenerangan https://t.co/wlLG5ERx2o",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 
 #JabatanPenerangan https://t.co/2f18p5aqmJ",1
"ini anak siapa sih.
 
 justru di saudi, mentri kesehatannya yg pertama kali di vaksin.
 
 #Aagym #VaksinCOVID19 https://t.co/IUoeAnkJgo https://t.co/XW5vCVr1TU",1
"Aku ini gk pro siapa siapa loh ya. Cuman mau nanya doang. 
 Kalo nya ini tuh salah,lalu yg benar kek gimana ?
 Aku sih orangnya perlu melihat dari segala arah dulu baru bisa menyimpulkan sesuatu. Emng bdh bgt aku 😭
 
 #VaksinUntukNegeri 
 #Vaksin https://t.co/mU9Up0UQ75",1
"BPOM Pastikan Keamanan dan Efektivitas Vaksin
 https://t.co/SDEfXXUQYS
 
 #bpom #vaksin #vaksìncovid19 #berita #news #pustakalewi @ Surabaya, Indonesia https://t.co/EOENc9mKvR",1
