text;sentiment
jadi menteri pendidikan memang pusing banget sekarang buka sekolah nanti malah bikin cluster baru bikin pembelajaran online dituduh ngga mikirin yg ngga punya fasilitas kalau menurut kalian solusi paling benar gimana kira ;negative
salah satu curhatan anak sma ngerasain sekolah online gabayangin susahnya gimana anak kuliahan yang udah biasa belajar mandiri aja kesusahan gimana anak sekolah yang masih butuh dibimbing ;negative
ngga ada uang buat nabung karena ngga dapet uang jajan selama libur sekolah jadi harus nunggu masuk sekolah lagi buat nabung dan buat beli keperluan sekolah lainnya apalagi sekarang sekolah online jadi harus beli kuota setiap bulan tokopedia tokopediaxtwice ;negative
ribet banget soalnya sekolah gue tuh absen mulai jam pagi tugas mulai jam dan setiap pergantian pelajaran harus absen per pelajaran tugas berjibun deadline jaman cape juga ni sokolah online blm lagi ovehinknya yg makin bikin capek ;negative
sekarang mau sekolah ajaa cape kalo belajar online ;negative
gatau keknya engga hrsnya amin gua gamau panas an demi kuliah anjritt plis im not ready tp ppsmb aja online kok yakeles kuliah offline smoga aj nggak klo pake lab yg tatap muka itu br masuk akal hufita yakali nji jihad gw buat sekolah aja apalagi bnyk tmn dr zona iteng;negative
alhamdulillah jangan lupa jaga kesehatan menurut testi sekolah online bikin puyeng wkwk;positive
waktu belajar ini sih masalah utama kita semua ketika kita udah buat plan belajar eeh tiba tiba tugas online dari sekolah menimpaingin rasanya pake joki tugas ga si heehehe aku sefrustasi itu karena memang tugas yang diberi sebanyak itu dengan deadline yang mempet ;negative
trs lewat dari dua minggu itu langsung sekolah online kan ya sumpah aku stress banget kyk kalo disekolah dpt tugas lo bisa kan ya nawar jangan banyak gitu ;negative
percumah bgt sekolah online otak gue juga ga bisa kaya internet selalu online;negative
 tata kelola keuangan secara online ini sangat memudahkan dalam segi administratif yang tentu memudahkan pihak sekolah ;positive
 min kami sudah mengikuti arahan yg di berikan tapi jaringan masih bermasalah dan tidak stabil sebentar sebentar g trus pindah jadi e kasihan anak anak sekolah di sini yang belajar online min tolong di diperbaiki jaringannya min telkomsel ;negative
 adeknya yang sekolah online malah kakaknya yang pusing siapa yang gitu juga sini berkumpulah berbagi tutorial mengasuh ad ;negative
