teks;;;label
sangat memuaskan untuk perjalanan ke jogja;;;1
kamar yang nyaman dan unik suka;;;1
hotel direkomendasikan banget deh pokoknya pelayanannya bagus dan cepat asyik buat yang sudah berpasangan suami istri;;;1
sangat menyenangkan lokasinya yang dekat dari berbagai fasilitas umum dan destinasi wisata di jogja sangatlah membantu liburan saya disini;;;1
pelayanan yang baik mudah akses;;;1
lokasi strategis bantalnya banyak wifi lumayan;;;1
seperti biasa kamar oke nyaman recommended buat traveler yang budget tidak banyak tapi dapat kamar yang bagus akses mudah di tengah kota;;;1
sangat setimpal dan tidak jauh dari jalan utama tidak susah mencari makan apa saja ada sepanjang jalan sekitar hotel;;;1
sempurna ada teh gratis dari jam di restaurant di atap para petugas membantu dengan sangat ramah dan baik;;;1
recommended kamar bersih dan mostly tidak ada asap rokok karena semua kamar dan lobby dan koridor kamar bebas asap rokok dan vape;;;1
pelayanan bagus letak hotel yang dekat mana mana kamar pun bersih tidak berbau;;;1
makanannya suka enak tempatnya juga nyaman;;;1
hotelnya bersih kenyamanan oke sarapan pagi oke;;;1
menyenangkan sudah jadi langganan kalau liburan ke jogja pasti selalu pakai yellow star kamarnya bagus bersih kamar mandi juga bersih cocok lah pokoknya harganya murah tapi fasilitas bagus pelayanannya oke;;;1
kamar bersih sangat mirip seperti difoto lokasi sangat strategis harga terjangkau tentunya kalo saya ke jogja saya akan nginap lagi di yellow star hotel gejayan;;;1
kamar hotel bersih dan pelayanannya juga ramah lokasi cukup strategis dan dekat ke pusat kota recommended untuk perjalanan bisnis;;;1
kamar sesuai dengan yang di picture pelayanan yang sangat ramah cepat dan bagi saya ini sangat terjangkau terima kasih yellow;;;1
bersih dekat mini market kafe dan lain lain;;;1
kamarnya nyaman dan bersih cocok buat istirahat santai sore di atap juga enak;;;1
tempatnya nyaman pelayanannya bagus sarapannya juga oke berada di jalan yang ramai yang aksesnya gampang;;;1
bersih dan makanan enak enak banyak macamnya sarapan maupun ala carte enak semua;;;1
terima kasih sudah memberi saya kejutan ulang tahun;;;1
puas satu kata yang menggambarkan pengalaman saya ketika menginap di yellow star gejayan terlepas dari beberapa hal yang perlu diperbaiki seperti gorden kamar mandi yang sedikit rusak dan gambar televisi yang kurang jernih semua fasilitas dan pelayanan yang diberikan pihak hotel jauh dari kata mengecewakan;;;1
nyaman bersih bed yang empuk dan nyaman hanya harga agak tinggi dan tidak ada kopi maker di kamar;;;1
bersih nyaman ac dingin dekat pusat kota;;;1
aku sering banget menginap disini dengan harga yang murah dapat kamar yang nyaman keren deh pokoknya;;;1
pelayanan ramah hotel bersih cuma waktu pagi agak bau di toiletnya kamar di upgrade ke suite room tidak kena charge secara keseluruhan bagus saya rekomendasi;;;1
pelayanannya sangat ramah mulai dari cs sampai staf untuk sarapannya meskipun tidak banyak menu tapi rasa dari makanannya enak setimpal dengan budget segitu;;;1
kamarnya kecil tapi bersih pelayanannya pun cepat tidak bertele tele;;;1
saking nyamannya hotel ini saya memperpanjang waktu menginap saya sampai kali berturut turut;;;1
hotelnya sangat bersih dan pelayanan yang diberikan sangat memuaskan mereka membersihkan kamarnya setiap hari ketika saya kembali ke hotel untuk beristirahat saya diberikan rasa nyaman karena kamar wangi dan rapi design interiornya unik dan menarik dengan harga yang diberikan hotel ini memberikan pengalaman menginap yang sangat nyaman;;;1
yang sekian kalinya layanan dan hotelnya menyenangkan terima kasih;;;1
pengalaman menginap di hotel ini sangat menyenangkan sangat puas sekali dengan kenyamanan dan kebersihan kamarnya;;;1
lokasi strategis di tengah kota sehingga dekat kemana mana tempat makan juga banyak di sekitar hotel;;;1
kamar nyaman dan bersih personal di bagian front office sangat sigap membant dan ramah saya akan menginap kembali di hotel yellow star gejayan;;;1
pas kamarnya juga tempatnya nyaman sekali;;;1
saya senang karena dapat upgrade room dari mereka;;;1
hotelnya bersih dan semua petugasnya ramah banget makanannya enak enak sangat di luar ekspektasi dan harganya bersahabat tadinya hanya ingin semalam tapi extend jadi malam low cost accommodation yang tidak mengecewakan recommended;;;1
kamarnya unik memuaskan saya pasti akan kembali lagi untuk menginap disana;;;1
cukup nyaman menginap di hotel yellow star gejayan pelayanan yang cepat dan ramah lokasi strategis;;;1
secara keseluruhan bagus kami dikasih upgrade room tidak tahu kenapa tapi semua bagus;;;1
recommended cuma minta single dikasih double bed;;;1
walau kamar kecil tapi bersih dan rapi cuma tidak ada pemanas air yang lain oke harga murah dan terjangkau;;;1
lokasi stategis dekat kampus cari makanan juga gampang banyak pilihan fasilitas jadi far jadi bagus lah ya terimakasih yex yellow star hotel;;;1
pelayanan baik bersih dan nyaman;;;1
sangat nyaman posisi strategis kebersihan nomor dan staf yang ramah ramah;;;1
desain kamar bagus untuk harga yang relatif murah bersih tempat sarapan dengan pemandangan atap;;;1
low budget hotel dengan pelayanan memuaskan setimpal;;;1
tempatnya dekat pusat kota nyaman pelayanannya oke parkirannya agak sempit tapi recommended;;;1
hotelnya dekat dengan toko jadi bisa belanja kebutuhan dekat dengan rumah makan juga mau ke plaza ambarukmo juga dekat;;;1
lokasinya sangat strategis dekat dengan uny dan ugm lokasinya juga banyak kuliner di sepanjang jalan pelayanannya sangat baik stafnya ramah ramah disediakan lobby yang cukup untuk menerima tamu dan yang paling saya suka kebersihan kamarnya sangat terjaga jadi sangat nyaman sekali untuk tinggal di hotel ini top lah;;;1
tempatnya nyaman rapi dan mudah akses ke area kampus cocok untuk teman teman yang memiliki keperluan diarea kampaus ugm uny dan sekitarnya;;;1
hotelnya bersih kamarnya nyaman dekat dengan pusat kota kali menginap disini dan saya sangat puas stafnya juga ramah dan membantu apalagi pas saya kirim paket ke hotel sebelum saya check in paket diterima dengan baik;;;1
pelayanannya baik ramah banget hotelnya bersih;;;1
hotel masih baru jadi semuanya masih bersih room kami diupgrade dari pesanan awal tanpa charge fee sarapan di roof top memberikan nuansa yang berbeda dari hotel lain recommended lah untuk jadi tempat stay di yogya harga terjangkau tapi tidak malu malu in kok pelayanannya oke;;;1
hotel ini nyaman dan sangat ramah petugasnya;;;1
hotelnya bagus instagramable gitu karena banyak lukisan di dinding diatasnya ada atap kafe yang nyaman banget kalau sore sore dikasih minuman selamat datang gratis teh keripik sudah kali kesini tidak pernah kecewa sama pelayanannya suasananya enak banget kamar bersih dan nyaman wifi juga sudah diperbaiki jadi lebih kencang dibanding bulan yang lalu;;;1
ini ke kalinya saya menginap disini menyenangkan;;;1
design bagus tempat bersih pelayanan check in mudah dan cepat;;;1
cukup baik pelayanan cepat pas dikantong pokoknya;;;1
staf ramah kamar bagus ac dingin dekat dengan bandara kamu kafe di lantai suasana nyaman banget sarapannya menunya standar sesuai dengan tarif secara keseluruhan bagus;;;1
sangat nyaman tapi kamarnya agak sempit;;;1
menyenangkan betah atapnya oke nobar wc rusia asyik disana makanannya lumayan oke kopinya oke kamar nyaman dan air panas free wifi pelayanannya juga baik semakin betah karena di seberang depan hotel ada masjidnya dekat ibadah dan untuk jum atan kami akan kembali;;;1
tempatnya bersih dan nyaman pelayanannya sangat baik tempatnya juga strategis dekat dari kampus minimarket warung tempat print dan lain lain sangat puas terima kasih;;;1
nyaman lokasi sangat strategis dekat dengan tempat makan jual cemilan dan apotek;;;1
tempat yang nyaman dan roof top yang bisa dipake buat nongki ngobrol bareng temen sampai pagi ada beberapa tempat yang bisa dipake buat foto foto yang instagramable hanya tempat parkir saja yang agak kecil;;;1
pelayanan hotel ramah dan baik kamar bersih dan rapi jet showernya kotor dan ada kebocoran air sedikit parkiran terbatas;;;1
pengalaman luar biasa dengan harga terjangkau buat kantong pas pasan pelayanannya oke kamar tidurnya tidak kalah dengan kamar bintang lah kenyamanan jangan di tanya deh terimakasih traveloka dan yellow star tidak gejan;;;1
menyenangkan check in praktis kamar bersih karena setiap hari dibersihkan;;;1
nyaman bersih ac dingin ada spa juga membuat betah;;;1
hotelnya melayani dengan sepenuh hati ruangan dan interiornya bagus;;;1
bersih nyaman sesuai harga untuk daerah juga lumayan dekat dengan daerah daerah wisata;;;1
akses tempat tujuan aku dekat dari penginapan makanannya enak bersih juga hanya pencahayaan dari lampu kamarnya terlalu minimalis jadi kalau ngaca kurang puas;;;1
jadi far semua sudah oke hal yang terlewat seperti sabun cair lupa untuk diisi ulang dan resepsionis lupa menawarkan jenis tempat tidur twin single masih bisa dimaklumi;;;1
pelayanan ramah tempatnya rapi nyaman buat liburan;;;1
tempat yang bagus dan sangat bersih harga terjangkau tidak menyesal deh pokoknya menginap di sini;;;1
bagus dan cukup memuaskan oke mantap bagus;;;1
repemandangan dari pengguna yellow star sangat memuaskan dan saya ingin membuktikan ternyata sangat sesuai recommended place untuk spend vacation in yogyakarta;;;1
bersih nyaman memuaskan okelah;;;1
kamar dan yang lainnya sangat memuaskan;;;1
kamarnya bagus dan bersih kami juga dapat kamar yang di upgrade untuk sarapan standar mungkin untuk rasa bisa lebih ditingkatkan;;;1
oke hotelnya ac dingin pelayanan oke kok recommended hotel;;;1
secara keseluruhan memuaskan tidak kecewa bermalam disini termasuk kreatif ini hotel banyak karya seni;;;1
fasilitas dan kamar cukup bagus lain kali year menginap lagi;;;1
resepsionisnya dan karyawan ramah cuma kalau pelayanan restoran terlalu saklek tapi karena bulan puasa mungkin;;;1
tidak ada smoking room kamar dan pelayanan baik kamar nyaman wifi kencang;;;1
kamar nyaman dan bersih lokasi strategis sekitarnya banyak tempat makan dan pusat perbelanjaan;;;1
pengalaman menginap malam bersih staf ramah;;;1
sangat strategis bersih dan sangat nyaman;;;1
kamar nyaman pelayanan ramah lokasi strategis bisa buat foto bagus;;;1
harga cukup terjangkau kamar bersih bed nyaman cukup dekat ke bandara;;;1
tempatnya nyaman pelayannya ramah bersih;;;1
nyaman seperti biasa sudah sering menginap disini lokasi strategis tempat nyaman resepsionis dan satpamnya ramah;;;1
untuk harga budget fasilitas sudah kelas harga eksekutif puas pokoknya;;;1
pelayanan baik fasilitas sesuai dengan foto yang tertera;;;1
tempatnya asyik apalagi atapnya;;;1
kamar yang minimalis dan nyaman lokasi dekat dengan banyak pilihan makanan mudah dijangka dari beberapa tujuan bisnis di jogja;;;1
suka banget tidak menyesal deh;;;1
pelayanannya sangat baik ramah dan suasanya sangat tenang;;;1
pelayanan yang ramah ramah lokasi yang tidak jauh ke stasiun ka lebih dekat jika dengan tujuan malioboro kamar dan toilet bersih pemandangan dari lantai cukup bagus untuk bersantai santai top banget untuk yellow star;;;1
dengan harga yang saya dapat saya merasa nyaman sekali kamar bersih lain kali bakal balik lagi;;;1
semuanya memuaskan ini kedua kalinya saya menginap di hotel ini;;;1
tempatnya bersih dan mudah dijangkau kendaraan umum;;;1
nyaman ramah puless yellow star gejayan jogja istimewa;;;1
bersih dan sangat nyaman pelayanan baik dan lokasi strategis;;;1
menginap disana sangat enak nyaman banget bersih juga;;;1
room bersih nyaman cuma kurang di chanel tv luar;;;1
nyaman dan pelayanan ramah;;;1
kamar bagus dan nyaman bantalnya banyak;;;1
bersih dan bagus pemandangannya serta karyawan bagus;;;1
kamar bagus ada tea time free di sore hari sarapan lumayan;;;1
tidur dengan nyaman bersih layanan sopan;;;1
secara keseluruhan oke semua pas pesan minta double bed tapi ternyata yang double bed sudah full booked kemudian saya ditawarkan upgrade kamar untuk dapat double bed ternyata bed di kamar yang saya dapat itu twin bed yang dijadikan satu;;;1
bagus kamarnya nyaman receptionistnya boleh lebih ramah lagi;;;1
nyaman banget beberapa kali menginap lalu menjadkan hotel ini pilihan pertama kalau ke jogja;;;1
pelayanan baik kamarnya cukup bersih peralatan mandi sudah disediakan dapat sarapan gratis dan sky loungenya nyaman;;;1
hotelnya nyaman bersih rapi sesuai budget lah pokoknya;;;1
nyaman bersih pelayanan ramah;;;1
nyaman bersih interior lucu;;;1
kamar yang nyaman untuk beristirahat lokasi strategis mudah menemukan akses mencari makanan dekat dengan ugm tempat tujuan ke jogjakarta;;;1
budget murah dengan fasilitas yang oke we will come back;;;1
hotelnya bagus pelayanan staf ramah dan makanannya enak cuma jam sarapan agak terlambat minimal pukul wib;;;1
semua pelayanananya cukup baik;;;1
kamarnya bersih banget terus sarapannya enak;;;1
keren pelayanan ramah lain kali time kalau maen ke jogja nginep disini lagi recommended;;;1
pelayanan baik kamar juga bersih dan bagus;;;1
mudah di jangkau pelayanan yang baik bersih suasananya yang nyaman;;;1
hotel yang aman nyaman bersih harga oke terima kasih yellow star recommended buat yang mau liburan ke jogja;;;1
tempat bermalam yang pas walaupun harga murah tapi pelayanan dan fasilitas tidak murahan;;;1
dengan harga yang terjangkau cukup memuaskan;;;1
menyenangkan kamar bersih rapi air hangat shower melimpah mudah cari makan di sekitar hotel wifi bagus koneksinya lancar sangat recommended hotel;;;1
secara keseluruhan puas stafnya ramah kamar bersih walaupun kecil sesuai dengan harganya toiletries lengkap dapat voucher tea time di lantai bisa sambil melihat kota jogja makanan belum sempat coba;;;1
sangat memuaskan dari pelayanan dan lain lain bagus;;;1
nyaman tempat strategis pelayanan oke dan ramah;;;1
hotelnya bagus pelayanan oke stafnya ramah ruangannya bersih okelah kalau mau menginap disini;;;1
layanannya bagus tempatnya bersih dan dekat dengan berbagai tempat makan kamarnya juga bagus buat foto;;;1
internet cukup cepat fasilitas cukup untuk backpacker macam saya chanel tv minimalis lokasi strategis bersih ac dingin bantal banyak front office ramah;;;1
baik banget ada free upgrade dari hotelnya dari relaks room ke suite;;;1
pelayanan baik kamar oke bersih dan pegawainya ramah ramah;;;1
amat menyenangkan menginap di sini terjangkau dan sangat bagus saran saya ambil yang sekalian sarapan karena kalau pagi sebelum jam akan cukup sulit cari makan meskipun kalau malam sangat ramai tempat makan;;;1
pilih double bed dapatnya twin bed karena ada acara pernikahan di lantai atas jadi ya tidak di layanin sudah yang lain oke semua mulai dari staf sampai kamarnya;;;1
jadi far kamarnya bagus nyaman toilet bersih;;;1
pelayanannya baik kamarnya bersih;;;1
bagus dan strategis bersih dekat kemana mana;;;1
sangat bagus dan rekomendasi banget;;;1
suka banget sama ruang tunggu di lantai nya;;;1
suka banget sama hotelnya dan pelayanannya;;;1
luar biasa kamarnya dan kebersihannya semua staf juga oke banget;;;1
kondisi ruangannya bagus dan enak;;;1
hotel bersih dan pelayanan ramah;;;1
dekat ke mana mana kamar nyaman;;;1
kamar nyaman pelayanan ramah;;;1
kamar nya bersih pegawai nya ramah wifi nya kenceng di tengah kota jos gandos pokonyaa rekomendasi;;;1
secara keseluruhan luar biasa kamarnya bersih dan harganya reasonable;;;1
bagus kok bersih tetap dijaga saja kenyamanannya;;;1
dari saat check in kamar pemandangan kesopanan karyawan atap nya mantap makanan enak variasi ok saja kasur kebersihan ok banget terimakasih sudah bisa menitipkan bagasi setengah harian;;;1
nyaman saya sih suka tempat ini;;;1
kamar bersih nyaman dan indah;;;1
lokasi strategis pelayanan ramah check in dan check out dilayani dengan cepat;;;1
tempatnya sangat nyaman pelayanannya ramah lokasi dekat dengan kampus kampus;;;1
pelayanan disini sangat memuaskan dan lokasinya sangat strategis karena berada di tengah kota yogyakarta sehingga akses ke tempat tempat lain menjadi lebih mudah;;;1
kamarnya nyaman dan makanan enak;;;1
pelayanan hotel ramah kamar bersih;;;1
kamarnya bersih dan nyaman sekali;;;1
puas banget luar biasa harga ditraveloka jauh murah dari harga aslinya dan tidak tanggung tanggung pihak hotel memberi pelayanan terbaik dan ketika kamar yang saya pesan habis pihak hotel menggantinya dengan kamar yang levelnya diatas dari tipe kamar hotel yang saya pesan loyalitas sekali lokasi sangat strategis pelayanan ramah baik bersih layaknya hotel bintang paling bagus dengan harga ditraveloka yang sangat terjangkau;;;1
bersih strategis nyaman sederhana tapi berkesan;;;1
memuaskan bersih ramah kamar nyaman;;;1
sarapannya termasuk yang banyak pilihan untuk hotel budget kasurnya empuk bantalnya banyak lokasi dekat kemana mana bersih harum ruangan kedap karena tidak pernah terdengat suara dari kamar sebelah;;;1
fasilitas baik cuma saat saya order sd x dapatnya bukan bed tapi bed untuk roof top nya ok banget;;;1
tempat bersih nyaman senang nginep di sini;;;1
pelayanan memuaskan kamar bagus;;;1
baik nyaman dan aman kamarnya bersih dan pelayanannya baik;;;1
hotelnya bersih lokasi strategis kamarnya luas recommended dengan harga terjangkau;;;1
recommended untuk tempat menginap yang nyaman design moderd dan harga terjangkau;;;1
kamar bersih rapi dan nyaman staf ramah;;;1
karena tempatnya keren kamarnya rapi bersih wangi pkonya nyaman banget dan tpat nongkrongnya juga keren banget lhoo petugas yang jaga semuanya juga ramah baik dan yang enak lagi hotelnya deket dengan jalan raya dan yang tepat lagi deket dengan tempat warung makan;;;1
salah satu budget hotel terbaik di jogja ekonomis namun kamar baik designed kasur nyaman amenities bersih dan harum terlebih lagi banyak stop kontak ini jarang saya temu bahkan di hotel high end proses check in sangat mudah saya rikues kamar tingkat atas dan langsung diganti sayang belum sempat coba makanannya mungkin lain kali;;;1
pelayanannya oke lah nilainya pegawai ramah kamarnya bersih dan wangi;;;1
sangat menyenangkan menginap disana puas banget;;;1
recommended pelayanannya sangat memuaskan;;;1
nyaman bersih pelayan nya ramah;;;1
bagus bersih nyaman enak buat istitahat;;;1
tempat nyaman lokasi strategis;;;1
pelayanannya baik dan ramah kamarnya bersih dengan interior yang menarik dan membuat betah;;;1
over semua sangat bagus sekali saya di upgrade ke kamar deluxe tanpa tambahan biaya tidak ribet pelayanan ramah tidak perlu deposit semua sangat memuaskan hanya saja kasur untuk double bed itu kasur twin bed dijadikan satu selebihnya baik sekali hotel recommended kalau ke jogja lagi;;;1
hotel enak dan nyaman pelayanan ok banget pada ramah ramah tidak perlu pakai deposit pula tidak ribet lah dan room no smoking jadi baunya wangi;;;1
nyaman bersih pelayanan baik;;;1
selalu mantap menginap disini bagus lah;;;1
sudah beberapa kali menginap disini sesuai harga proses check in check out cepat lokasi strategis banyak pilihan tempat makan karena berdekatan dengan kampus uny ugm sanata dharma atma jaya;;;1
harga standar kamar bersih sprei wangi dengan harga tersebut sangat setimpal dekat kemana mana akses mudah ke mall atau wisata paling suka menginap disini;;;1
nyaman bersih pelayanan mantap;;;1
kamar nyaman bersih pelayanan ramah;;;1
bersih banget setimpal dengan harganya;;;1
kamar yang bersih dengan harga yang standart sangat puas;;;1
akses mudah dan nyaman untuk menginap disitu;;;1
hotel kecil tapi nyaman dan bersih letak strategis;;;1
selama hari menginap di hotel its ok bagus pelayanannya bersih kamar wc nya juga cuma tidak ada konfirmasi sebelumnya kalau kamar bakalan dibersihin setiap hari jadikan kita kaget juga takutnya ada barang barang berharga kita;;;1
nyaman pilih yang star room only kamarnya agak sempit tapi fine sih tidak sampai ke lantai atas soalnya hujan terus tapi secara keseluruhan suka banget;;;1
rekomendasi buat temen temen yang cari hotel dengan high internet speed saya menginap saat weekday semoga kecepataan internet tetap sama saat occupancy tinggi lampu lampu depan kamar yang pojok tiap lantai mohon ditambah penerangannya biar tidak terkesan gelap;;;1
nyaman makanannya juga lumayan cuma kamar lebih sempit dari fotonya tetapi comfort dan tidak berisik;;;1
menyenangkan walaupun di beri nomor kamar paling ujung;;;1
nyaman dan tenang jadi menginap di sini luar biasa;;;1
sangat recommended hotel sangat setimpal dengan harganya room nya sangat nyaman wangi dan bersih terus tingkatkan ya besok lagi kalau berkunjung ke jogja pasti akan ke yellow star lagi;;;1
bagus dan tingkatin lagi pelayanannya;;;1
kamar yang nyaman untuk istirahat;;;1
bagus tetapi tidak bisa merokok jika anda perokok disarankan untuk tidak menginap di hotel ini;;;1
sangat memuaskan menginap disini pelayanannya ramah dan lokasi yang strategis serta romantis sekali tempatnya;;;1
lokasi strategis dan dapat pemandangan kamar yang bagus karena arah timur pas pagi bisa liat sunrise pelayanan juga memuaskan dan ramah;;;1
untuk menginap semalam cukup bagus;;;1
